restaurant_name,location,Latitude,Longitude,Review
Five Star Chicken,"7, Ground Floor, 10th Main, Jeevan Bhima Nagar, Bangalore",12.9677517,77.653375,2595
Thalassery Restaurant,"18/1, Ground Floor, Wellington Street, Shanthinagara, Richmond Town, Bangalore",12.9628132091,77.6040924531,254
Al Daaz,"64 & 65, 27th Main Road, Sector 1, Near Police Station, HSR, Bangalore",12.9207633849,77.6515194029,1568
Mani's Dum Biryani,"18/1, First Floor, Haudin Road, Ulsoor, Bangalore",12.9773633341,77.619291991,252
Kabab Magic,"17, Ground Floor, Near Johnson Market, Hosur Road, Richmond Town, Bangalore",12.9640984409,77.6065716147,139
Polar Bear,"Shop 2, Ground Floor, Bagmane Tech Park, CV Raman Nagar, Bangalore",12.9795098279,77.6579097658,2
Kanti Sweets,"36, SNS Arcade, Old Airport Road, Bangalore",12.9589821199,77.6601316407,3585
Kritunga Restaurant,"88, Munnekolala Village, Varthur Hobli, Mahadevpura, Marathahalli, Bangalore",12.9478702025,77.6992563531,1698
MOJO Pizza - 2X Toppings,"Lower Ground Floor, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",12.9806572307,77.6461529732,9126
Corner House Ice Creams,"Shop 45/3, Gopalkrishna Complex, Near Mayo Hall, Residency Road, Bangalore",12.9736747193,77.6093218848,730
Beijing Bites,"11, Ground Floor, Pentagon Fazal, Mosque Road, Opposite More Super Market, Frazer Town, Bangalore",12.9971257318,77.614200823,274
Andhra Gunpowder,"Jeevan Bhima Nagar Main Road, Ward 74, Shetty Palaza, Puttappa Layout, New Thippsandra, Near Jeevan Bhima Nagar, Bangalore",12.968187,77.650777,11267
Behrouz Biryani,"541, 1st Floor, Binnamangla, CMH Road, Mahadevapura B.B.M.P East, Indiranagar, Bangalore",12.97817,77.63832,3895
Paakashala,"105, Old 44, Dickenson Road, Ulsoor, Bangalore",12.9759548712,77.6148462296,5
CakeZone,"229, Ground Floor, Muniswamappa Street, Near Ganesh Temple, Banaswadi, Bangalore",13.007994,77.641945,373
Sharief Bhai,"96, Cleveland Town, Pulikeshi Nagar, Mosque Road, Frazer Town, Bangalore",12.9966847042,77.6142004877,716
BOX8 - Desi Meals,"Lower Ground Floor, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",12.9806627847,77.6461429149,16945
RNR Biryani - Taste Of 1953,"83, 1st Floor, St. Thomas Town, Main Road, Sarvagna Nagar, Kammanahalli, Bangalore",13.0150197648,77.6357109964,560
Subway,"66/1, Bagmane Tech Park, CV Raman Nagar, Bangalore",12.9790086543,77.6580535993,118
Faasos - Wraps & Rolls,"Shop 1, Maruti Sankeema, New Thipasandra Main Road, Hal 3rd Stage, Thippasandra, Bangalore",12.9713595873,77.6583509892,5507
Paradise Biryani,"438, Sector 4, HSR Layout, Near HSR, Bangalore",12.9121631831,77.6435991749,432
FreshMenu,"102B, First Floor, Motati Meadows, Above ICICI Bank, Nagawarapalya Main Road, CV Raman Nagar, Bangalore",12.9939644,77.6638581,18038
Taco Bell,"6, Shop G3&G4, Ground Floor, Gopalan Signature Tower, C V Raman Nagar, Nagavara Palya, Old Madras Road, Bangalore",12.9928270808,77.6614964924,1
EatFit,"327, Ground Floor, 4th Cross, Ombr Layout, Banaswadi, Bangalore",13.0084294912,77.6516910642,1955
Dindigul Thalappakatti,"18, Ramashree Arcade, MG Road, Bangalore",12.9722538202,77.6187314093,377
California Burrito,"134, KHB Colony, Koramangala 5th Block, Bangalore",12.9342067138,77.6170127839,1533
WOW! Momo,"66/1-4, A Block, Bagmane Tech Park, CV Raman Nagar, Bangalore",12.979198,77.658234,0
Potful - Claypot Biryanis,"951/2A, 2nd Floor, Seethappa Colony, HAL 3rd Stage, BEML Main Road, Thippasandra, Bangalore",12.9722005649,77.6528145745,2181
Kapoor's Cafe,"7M-215, 2nd Block, 7th Main Road, 80 Feet Road, HRBR Layout, Kalyan Nagar, Bangalore",13.0178737232,77.6430184767,744
Natural Ice Cream,"20, Ground Floor, 15/16, House Of Lords, St. Marks Road, Bangalore",12.9714556432,77.6008504629,251
Lassi Shop,"208, 2nd Main, East Of NGEF, Kasturi Nagar, Banaswadi, Bangalore",13.0033777851,77.6607140154,0
Biryani Trip - Destination Hyderabad,"Jeevan Bhima Nagar Main Road, Ward 74, Shetty Palaza, Puttappa Layout, New Thippsandra, Near Jeevan Bhima Nagar, Bangalore",12.968187,77.650777,14113
Madeena Hotel,"20/A, Block 5, KHB Colony, Near Masjid E Mamoor, Koramangala 5th Block, Bangalore",12.9352160284,77.6157328047,275
Biryani By Kilo,"504, 1st Floor, 6th Cross, Club Road, Koramangala 6th Block, Bangalore",12.9372747329,77.6244300976,311
Anand Sweets And Savouries,"8, Commercial Street, Bangalore",12.9816445417,77.6098227873,2109
Goli Vada Pav,"118/1F, Opposite Dare Building, CV Raman Nagar, Kaggadasapura, Bangalore",12.9858743834,77.6713472977,0
WarmOven Cake & Desserts,"2/4, Khatha 94, 1st Floor, East Taluk Ward 83, Hobli, Main Road, Kaggadasapura, Bangalore",12.9841203162,77.678485997,5036
Nagarjuna,"44/1, Residency Road, Bangalore",12.9732182943,77.609320879,2302
Kwality Wall’s Frozen Dessert and Ice Cream Shop,"41/2, 14th Cross, 2nd Stage, Indiranagar, Bangalore",12.9730421931,77.6351934671,127
EasyBites by Empire,"35, Castle Street, Brigade Road, Bangalore",12.9672850203,77.6089621335,414
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","97, Kids Kemp Port, Old Airport Road, Bangalore",12.9591171747,77.6569017261,159
Amma's Pastries,"60, Appareddy Palya, Double Road, Indiranagar, Bangalore",12.9741605479,77.6357929409,487
Narmada Chain of Restaurants,"74, Ground & 1st Floor, Naseer Pride, Madhavraya, Mudaliar Raod, Frazer Town, Bangalore",13.0005897701,77.6142034144,0
Savoury Restaurant,"2nd Cross, Kaggadasapura Main Road, Varsova Layout Kaggadasapura, Bangalore",12.9854415034,77.6729227602,214
Royal Restaurant,"6, HKP Road, Broadway Road, Shivajinagar, Bangalore",12.985728021,77.6052543148,225
Bakingo,"2, 1st Floor, 4th Cross, Jakkasandra Extension, Sarjapur Road, Near Ujivan Finance Bank, Koramangala 1st Block, Bangalore",12.9245370928,77.6386592165,6420
Vijayalakshmi Veg,"112, MM Road, Frazer Town, Bangalore",13.0009178833,77.6128007099,97
Rolls On Wheels,"3145, HAL, 2nd Stage, Opposite ESI Hospital, Indiranagar, Bangalore",12.9715520257,77.6357993111,84
The Pizza Bakery - Brew & Eatery,"86, Coconut Grove, Spenser Building, Church Street, Bangalore",12.975156,77.604557,172
Paratha Envy,"Jeevan Bhima Nagar Main Road, Ward 74, Shetty Palaza, Puttappa Layout, Thippasandra, Bangalore",12.968187,77.650777,7255
Moriz Nano Restaurant,"38/5, Meanee Avenue, Tank Road, Ulsoor, Bangalore",12.9875702856,77.6189493388,215
Call Me Chow,"41, 7th Cross, 3rd Street, Subbanapalaya, Jai Jawan Nagar, Banaswadi Main Road, Kalyan Nagar, Bangalore",13.0078137138,77.6439857483,2617
The Punjabi Rasoi,"12, Gandhinagar, Munnekollal, Bangalore, Mahadevapura, Brookefield, Bangalore",12.9554742,77.7129847,3042
Barbeque Nation,"1/4, Ground Floor, Lido Mall, Swami Vivekanand Road, Ulsoor, Bangalore",12.97362,77.62117,1654
Chulha Chauki Da Dhaba,"Opposite EMC 2, 2nd Floor, Mahadevapura, Outer Ring Road, Marathahalli, Bangalore",12.9818542876,77.6927037165,3278
The Belgian Waffle Co.,"126, K.H.B Colony, Koramangala 7th Block, Bangalore",12.93421,77.616449,34
Baskin Robbins,"124, Ground Floor, Surya Chambers, Murgeshpalaya, Old Airport Road, Bangalore",12.9591232702,77.6542619616,31
Great Indian Khichdi by EatFit,"327, Ground Floor, 4th Cross, OMBR Layout, Basavanagudi, Bangalore",13.008305,77.651848,356
Anjappar,"9, 1st Floor, Curzon Complex, Brigade Road, Bangalore",12.9742458211,77.6077045128,37
Glen's Bakehouse,"616, 17th Main, 80 Feet Road, Koramangala 6th Block, Bangalore",12.9378805552,77.6264068857,310
New Udupi Garden,"9, Ground Floor, Wind Tunnel Road, Murugeshpalaya, Old Airport Road, Bangalore",12.9567057333,77.6536413655,61
LunchBox - Meals and Thalis,"Shop 1, Maruti Sankeema, HAL Third Stage, New Thippasandra Main Road, Thippasandra, Bangalore",12.971357627,77.6583540067,377
Biryani Blues,"G 02, Phoenix Arcade Showroom, Upper Ground Floor, Church Street, Bangalore",12.974674,77.605851,234
Theobroma,"82, Mosque Road, Frazer Town, Bangalore",12.99867,77.61548,11
Aroma's Hyderabad House,"Survey 88, Ground Floor, Venkatdari Building, Next to Nagarjuna Restaurant, Munnekolala, Marathahalli, Bangalore",12.948674,77.69888,136
Siddique Kabab Centre,"St Johns Church Road, Near Coles Park, Frazer Town, Bangalore",12.993463219,77.6085272804,553
Ghee And Turmeric,"Unit 45/004 B, Upper Ground Floor, Motati Meadows, Old Madras Road, CV Raman Nagar, Bangalore",12.993881,77.663595,248
ZAZA 22 Spice Awadhi Biryani,"01 & 02, Lower Ground, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",12.98061,77.64638,792
NH1 Bowls - Highway To North,"01 & 02 Lower Ground Smart Avenue, Indiranagar, 80 Feet Road, Indiranagar, Bangalore",12.98061,77.64638,518
New Udupi Grand,"L 14, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",12.9679584018,77.6524628699,14
WOW! China,"28/4, G-005, Ground Floor, City Center, Church Street, Bangalore",12.9750034764,77.6048379019,26
The Biryani Life,"Shop 1, Maruti Sankeema, HAL Third Stage, New Thipasandra Main Road, Thippasandra, Bangalore",12.9713612209,77.6583439484,315
Samosa Party,"Khata 241, ATR Complex 121, Airport Road, Old Airport Road, Bangalore",12.9587153,77.65475578,1
7 Plates,"5/5, Benson Cross Road, Benson Town, Near Family Super Market, Frazer Town, Bangalore",12.9970803223,77.6038930938,3118
UBQ By Barbeque Nation,"1/4, Ground Floor, Lido Mall, Swami Vivekanand Road, Ulsoor, Bangalore",12.97362,77.62117,1371
Smoor,"First Floor, Trinity Circle, 1 MG Road Mall, Near MG Road, Bangalore",12.9734401358,77.6202210412,556
The Dessert Heaven - Pure Veg,"229, Ground Floor, Muniswappa Sreet, Near Ganesha Temple, Banaswadi, Bangalore",13.007994,77.641945,20
Kaati Zone Rolls and Wraps,"2/4, Khatha 94, 1st Floor, Taluk Ward 83, Hobli, Kaggadasapura, Bangalore",12.9839644784,77.6786080375,1393
Chai Point,"Near Axis Bank, Trinity Metro Station, MG Road, Bangalore",12.9732728563,77.6166922599,4611
Ludos Pizza,"74-8-1308, Ward 74, Shetty Plaza, Hal 3rd Stage, Puttapa Layout, Jeevan Bhima Nagar, Bangalore",12.968125,77.6507868,570
Delicacy,"Kenchappa Road Cross, Frazer Town, Bangalore",12.998463184,77.6177061349,273
Chinese BAE,"40, Kodihalli Village, Hal 2nd Stage, Jeevan Bhima Nagar, Bangalore",12.9677649,77.6545273,526
Donne Biryani Mane,"3/1, Avs Layout, 80 Feet Road, Near Gkb Opticals, Koramangala 4th Block, Bangalore",12.9368767324,77.6276759058,11
The Good Bowl,"Shop 1, Maruti Sankeema, Hal 3rd Stage, New Thipasandra Main Road, Thippasandra, Bangalore",12.9712563436,77.658383511,2057
Momoz,"40, Kodihalli Village, Hal 2nd Stage, Jeevan Bhima Nagar, Bangalore",12.9677649,77.6545273,1035
Mealful Rolls - India's Biggest Rolls,"Lower Ground 1, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",12.98061,77.64638,525
Biggies Burger,"65 Gold Plaza Building, Coles Road, Cleveland Road, Pulikeshi Nagar, Frazer Town, Bangalore",12.9951881,77.6142152,43
99 Variety Dosa & Pav Bhaji,"4th Block, Sony World Signal, Koramangala 6th Block, Bangalore",12.9368401346,77.6275635883,162
Keventers - Milkshakes & Desserts,"Shop 1, Third Floor, Garuda Mall, Commissariat Road- Magrath Road Junction, Near Brigade Road, Bangalore",12.9702092011,77.609211579,22
Mad Over Donuts,"Magrath Road, Garuda Mall, Ashok Nagar, Brigade Road, Bangalore",12.9705032509,77.6093031093,159
FB Cakes,"45/2, Annai Reddy Building, Near Sudarshan Silk, Marathahalli, Bangalore",12.956512,77.696509,230
ITC Master Chef Creations,"18, Banaswadi Main Road, Maruthi Seva Nagar, Banaswadi, Bangalore",12.99804274,77.6281033829,505
Ambur Biryani Point,"303, 1st Main, 1st Block, Jakkasandra, Koramangala 1st Block, Bangalore",12.9277392098,77.6373633742,22
Chung Wah,"45/1, Leo Complex, Residency Cross Road, Residency Road, Bangalore",12.9738831651,77.6094372198,353
Donne Biriyani House,"Shop 01, 1st Floor, Building 37/1, Govindappa Cross Road, Ramaswamy Palya, Kammanhalli Main Road, Kammanahalli, Bangalore",13.0108174514,77.6350744441,2633
Laddoos,"J B Nagar Main Road, HAL 3 Stage, Jeevan Bhima Nagar, Bangalore",12.967889,77.652837,203
Chaayos Chai+Snacks=Relax,"Commerz 1, Bagmane Techpark, K R Puram, CV Raman Nagar, Bangalore",12.9795016,77.6580343,397
Cream Stone Ice Cream,"61/64, M M Road, Frazer Town, Bangalore",13.0005875,77.6153902,100
Cupcake Bliss Cakes & Desserts,"94, 1st Floor, Main Road, Kaggadasapura, Bangalore",12.9840958135,77.6785047725,1045
Yumlane Pizza,"Tata Sherwood, Survey 16, 2/4, 164/1, 164/2, Basavanagar Main Road, Kaggadasapura, Bangalore",12.96941716,77.68267161,45
Starbucks Coffee,"Ground Floor, Ramanashree Arcade, MG Road, Bangalore",12.972850736,77.6185205206,67
Krispy Kreme,"Krispy Kreme, Adarsh Opus, 1, Old -9, Campball Road, Near Austin Town, Richmond Road, Bangalore",12.9669276,77.6115022,60
Momo Zone - The Momo Company,"2/4 Khatha 94, 17th Cross, K R Puram, East Taluk, Hobli, Kaggadaspura Main Road, Kaggadasapura, Bangalore",12.984222,77.678224,237
Just Shawarma,"133, 5th Main Road, St. Thomas Town, Inasappa Layout, Kalyan Nagar, Bangalore",13.0157736206,77.6392073929,76
IDC Kitchen,"8, 1st Main, 8th Cross, Sampangiramanagar, Sri Rammandir Road, Residency Road, Bangalore",12.9659398856,77.594531849,31
Donne Biriyani Mane,"PR Building, Nagavara Palya Main Road, CV Raman Nagar, Bangalore",12.9922521702,77.6639517769,32
Sweet Truth - Cake and Desserts,"Shop 1, Maruti Sankeema, HAL Third Stage, New Thippasandra Main Road, Thippasandra, Bangalore",12.9712596108,77.6584042981,740
ibaco,"121, Civil Station, Wood Street Junction, Brigade Road, Bangalore",12.9677287139,77.6066309586,107
Itminaan Matka Biryani - Slow Cooked,"Lower Ground 1, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",12.980606,77.646376,570
Sreeraj Lassi Bar,"30, K Kamaraj Road, Near Commercial Street, Commercial Street, Bangalore",12.9826635392,77.6107887179,181
Pure Veg Meals By LunchBox,"104, 1st Floor, Connection Point, Old Airport Road, Bangalore",12.95709,77.6626,43
Hotel Revoli Inn,"88, K H Road, Opposite Shanti Nagar Bus Stop, Shanti Nagar, Bangalore",12.9559767755,77.5920712575,65
GOPIZZA,"Shop T 09, 10/34 Orion East Avenue Mall, Food Court, Banaswadi Main Road, Banaswadi, Bangalore",13.0009569,77.6325712,17
Donne Biriyanis Junction,"1st Floor, Near Home Shop Super Market, Kammanahalli, Bangalore",13.0106684904,77.6350657269,874
Pasta Street,"751, 80 Feet Road, Opposite SBI Bank, Koramangala 4th Block, Bangalore",12.9330460261,77.6310799643,4060
New Tandoor,"21, Opposite Syndicate Bank, Kaggadasapura Main Road, CV Raman Nagar, Bangalore",12.9852409081,77.6675026864,276
Daily Sushi,"First Floor, 1/1-1, Museum Road, Shivajinagara, Church Street, Bangalore",12.97579083,77.60248683,55
Dum Biryani Adda,"39, 2nd Floor, Opposite I O C Petrol Bunk, Jeevan Bhima Nagar, Bangalore",12.9678698592,77.6544218883,3615
The Filter Coffee,"HRBR Layout, 7th Main Road, Kalyan Nagar, Bangalore",13.017806758,77.6430312172,936
Zaatar,"1, 2 & 3, HLK 158-159/125-1 & 2, KATHA 215, Mereside Heights Nagavarapalya Village, Benniganahalli Dhakale, K R Puram Hobli, Old Madras Road, Bangalore",12.9959510536,77.6667352423,699
The Dessert Zone,"2/4, Khatha 94, 1st Floor, Kaggadaspura Main Road, Opposite 17th Cross, Kaggadasapura, Bangalore",12.984222,77.678224,194
Hamza Hotel,"19, HKP Broadway Road, Shivajinagar, Bangalore",12.9860481886,77.6049579307,308
AB's - Absolute Barbecues,"90/4, Outer Ring Road, Marathahalli, Bangalore",12.9498711952,77.6990903297,14867
Khan Saheb Grills and Rolls,"3136, Ground Floor, Sri Shiva Sai Complex, 13th Cross Road, 7th Main Road, HAL 2nd Stage, Off Double Road, Indiranagar, Bangalore",12.971279214,77.6350965723,1058
Toscano,"Museum Road, The Museum SY - 1, Church Street, Bangalore",12.9749375,77.6029375,83
Just Bake,"5, Mosque Road, Opposite HDFC Bank, Frazer Town, Bangalore",12.9962577235,77.6135748625,15
Bucket Biryani,"44, Ground Floor, Castle Street, Ashok Nagar, Brigade Road, Bangalore",12.9671321125,77.608984597,7
Ghee Tadka Khichdi,"74-8-1308, Ward 74, Shetty Plaza, Hal 3rd Stage, Puttapa Layout, Jeevan Bhima Nagar, Bangalore",12.968125,77.6507868,1627
Apsara Ice Creams,"Shop 2, Ward 83, Nagvarapalya Main Road, B.B.M.P East, CV Raman Nagar, Bangalore",12.988970841,77.66380459,391
New Taj Darbar,"32, FM Narhana Road, Opposite Russell Market, Shivajinagar, Bangalore",12.9853641,77.6052562,64
Aubree,"Ramanashree Arcade, Old Kids Kemp Building, 18, Craig Park Layout, Ashok Nagar, MG Road, Bangalore",12.972903011,77.6184883341,30
Absolute Shawarma,"63, HAL 3rd Stage, 4th Cross Road, Opposite Ganesha Temple, Thippasandra, Bangalore",12.9722368308,77.6537898928,54
Suchithra Biryani House,"121, ATR Complex, Murugeshpalya, Opposite ISRO, Old Airport Road, Bangalore",12.9590729528,77.6550951228,360
1522 - The Pub,"65, Shanthala Nagar, Residency Road, Bangalore",12.9730653901,77.6089453697,108
RS Shiv Sagar,"36, 1st Floor, Public Utility Building, MG Road, Bangalore",12.9744970662,77.6100293174,344
Chopstick,"40, Kodihalli Village, Hal 2nd Stage, Jeevan Bhima Nagar, Bangalore",12.9677649,77.6545273,688
Mainland China,"14, 1st Floor, Church Street, Bangalore",12.9752155149,77.6039202511,2360
Aligarh House by EatFit,"327, Ground Floor, 4th Cross, OMBR Layout, Banaswadi, Bangalore",13.0084027041,77.6517815888,321
Sangam Sweets,"7, M 227, 2nd Block, Banasawadi HRBR Layout, Kalyan Nagar, Bangalore",13.0189932939,77.6429283067,1
Hotel Fanoos,"17/1, Leonard Lane, Richmond Town, Richmond Road, Bangalore",12.9647509069,77.6064776712,847
Brik Oven,"19, Brigade Garden, Shanti Nagar, Church Street, Bangalore",12.9748603748,77.6053367928,2837
Chaatimes,"Shop 104, Dhavanam Emporium, Mahatma Gandhi Road, Near Cauvery Handicrafts Emporium, Brigade Road, Bangalore",12.9748103872,77.6083472371,1335
Sendhoor Coffee,"58, G1 & G2, Ground Floor, 7th Main, HAL 2nd Stage, Indiranagar, Bangalore",12.9705342947,77.6333655856,171
Shiv Sagar,"22, Marathi Seva Nagar, Banaswadi Main Road, Banaswadi, Bangalore",13.0021429371,77.6331432536,5
Magnolia Bakery,"Survey 40 And 41, Phoenix Marketcity, Mahadeva Pura, Devasandra Industrial Estate, Krishnarajapura, KR Puram, Bangalore",12.9979006317,77.6965657622,1674
Empire Juices and Desserts,"35, Castle Street, Brigade Road, Bangalore",12.9671736067,77.6089550927,781
Bangarpet Chats,"Vijinapura, Dooravani Nagar, Main Road, Opposite FCI Godown, Old Madras Road, Bangalore",13.002592,77.66766,1
The Thick Shake Factory,"15, St. John's Church Road, Cleveland Town, Bharatinagar, Frazer Town, Bangalore",12.99147265,77.61156757,7
Motis Kitchen,"3, 9th Main, Seethappa, Thippasandra, Bangalore",12.9725442737,77.653372474,499
Sri Srinivas Pork Hotel,"147, Ejipura Road, Near Green Vine Hospital, Ejipura, Bangalore",12.9486769506,77.6274512708,41
NOTO - Healthy Ice Cream,"44/1, Ferdous Complex, Art Of Delight, Brigade Road, Bangalore",12.9730934402,77.6091707847,16
Tomba Kitchens,"28/1, 29/2, Vivek Nagar, Main Road, Ejipura, Bangalore",12.950368532,77.6252263784,79
Cafe Coffee Day,"G02A, Ground Floor Garuda Mall Brigade Road, Bangalore",12.97052,77.60996,27
Momo Monk,"Jeevan Bhima Nagar Main Road, Ward 74, Shetty Palaza, Puttappa Layout, New Thippsandra, Bangalore, Jeevan Bhima Nagar, Bangalore",12.968187,77.650777,723
Rahhams,"82, M M Road, Frazer Town, Bangalore",13.0009093895,77.6131369919,1032
Le Arabia,"60, 60 Feet Road, Koramangala 5th Block, Bangalore",12.933545,77.6227283,72
Bombay Kulfi,"81/B, 17th E Main, Koramangala 6th Block, Bangalore",12.9371642862,77.6247167587,0
Indiana Burgers,"2/4, Khatha 94, 1st Floor, Taluk Ward 83, Main Road, K R Puram, Hobli, Kaggadasapura, Bangalore",12.983931808,77.6785765216,2161
Crusto’s - Cheese Burst Pizza,"First Floor, 897/E, 80 Feet Road, Koramangala 6th Block, Bangalore",12.9404117818,77.6251965854,18
Chichaba's Taj,"50, MM Road, Frazer Town, Bangalore",13.00035697,77.6173373312,553
Goila Butter Chicken,"504, First Floor, Sixth Cross, Club Road, Koramangala 6th Block, Bangalore",12.9372747329,77.6244300976,123
Sukh Sagar,"62, 17th Main, 1st Cross, 100 Feet Road, Koramangala 5th Block, Bangalore",12.9333306435,77.6231560484,520
Chaitra Restaurant,"6, 80 Feet Road, Subbayyana Palya, Kalyan Nagar, Bangalore",13.0130949757,77.6424478367,64
Sichuan,"M 22, LIC Colony, 10th Main, Jeevan Bhima Nagar, Bangalore",12.967999294,77.6531044182,1208
Third Wave Coffee,"Shop 52/2, Sujaya Pride Building, Ashok Nagar, Church Street, Bangalore",12.9745178,77.6068982,399
Tharavadu,"143, KHB Colony, Koramangala 5th Block, Bangalore",12.9371584044,77.6196383312,5
Shanthi Sagar,"9/1, Tank Road, Ulsoor, Bangalore",12.9871785727,77.6189074293,211
Juice Junction,"22, Opposite State Bank Of India, St. Marks Road, Bangalore",12.9721018956,77.6012196019,124
TrueCakes,"2392/3, Kacharakanahalli, Main Road Circle, St. Thomas Post, Kammanahalli, Bangalore",13.0144140486,77.6356192678,154
Kolkata Famous Kati Roll,"1&2, Impan Complex, Basavanagar Main Road, Sherwood, Kaggadasapura, Bangalore",12.969265,77.6825825,11
Home Plate by EatFit,"327, Ground Floor, 4th Cross, OMBR Layout, Basavanagudi, Banaswadi, Bangalore",13.008305,77.651848,90
Lassi Corner,"Shop 103, 1st Floor, Venkataswamy Layout, Koramangala 8th Block, Bangalore",12.9444575864,77.6173530892,1
Oh! Calcutta,"14, 1st Floor, Church Street, Bangalore",12.9752164951,77.6039001346,1681
Richie Rich,"4, SNS Plaza, Kumara Krupa Road, Race Course Road, Bangalore",12.9868342308,77.5800090283,756
Calcutta Victoria Chat House,"2 M, 148, Ground Floor, 2nd Main Road, East Of NGF, Kasturinagar, Banaswadi, Bangalore",13.00128344,77.6616953686,173
Mother's Meal,"Chowdeswari Temple Street, Byrasandra, CV Raman Nagar, Bangalore",12.9814978501,77.6668676734,162
Big Bang Pizza,"60/1-A, Ground Floor, Coles Road, Frazer Town, Bangalore",12.9948082048,77.6150259376,92
Sattvam,"138/139, 3rd Floor, Opposite Decathlon, Garudacharapalya, Mahadevpura, Whitefield, Bangalore",12.993855,77.700745,583
Al Taza,"1026, 7th Main, 80 Feet Road, Koramangala 1st Block, Bangalore",12.9307671153,77.632955499,33
Green Onion,"43 - 44, Chandraprabha Complex, Residency Road, Bangalore",12.9734091,77.6092974,1369
Karavali Family Restaurant,"Ground Floor 004, Center Point building, Brigade Road, Bangalore",12.9729775029,77.609281987,28
