restaurant_name,Review,cusine,rating,place,price
Ambur Star Briyani Since 1890,6,north indian,3.9,koramangala 5th block,200
Ambur Star Briyani Since 1890,6,south indian,3.9,koramangala 5th block,200
Pathaan Sir,133,rolls,3.8,frazer town,200
Pathaan Sir,133,chinese,3.8,frazer town,200
Pathaan Sir,133,momos,3.8,frazer town,200
New Punjabi Hotel,252,north indian,3.8,old airport road,200
New Punjabi Hotel,252,chinese,3.8,old airport road,200
Donne Biriyani House,418,biryani,3.7,richmond road,200
Donne Biriyani House,418,south indian,3.7,richmond road,200
Punjab Junction,319,north indian,3.7,kaggadasapura,200
Punjab Junction,319,chinese,3.7,kaggadasapura,200
Punjab Junction,319,mughlai,3.7,kaggadasapura,200
Gowdru Hotel,177,south indian,3.9,indiranagar,200
Gowdru Hotel,177,biryani,3.9,indiranagar,200
Nandhana Palace,1250,biryani,4.0,kammanahalli,200
Nandhana Palace,1250,andhra,4.0,kammanahalli,200
Nandhana Palace,1250,north indian,4.0,kammanahalli,200
Nandhana Palace,1250,chinese,4.0,kammanahalli,200
Nandhana Palace,1250,mughlai,4.0,kammanahalli,200
Nandhana Palace,1250,south indian,4.0,kammanahalli,200
Nandhana Palace,1250,desserts,4.0,kammanahalli,200
Nandhana Palace,1250,beverages,4.0,kammanahalli,200
Five Star Chicken,2595,rolls,3.3,jeevan bhima nagar,200
Five Star Chicken,2595,fast food,3.3,jeevan bhima nagar,200
Thalassery Restaurant,254,kerala,3.6,richmond town,200
Thalassery Restaurant,254,south indian,3.6,richmond town,200
Thalassery Restaurant,254,seafood,3.6,richmond town,200
Thalassery Restaurant,254,north indian,3.6,richmond town,200
Thalassery Restaurant,254,chinese,3.6,richmond town,200
Thalassery Restaurant,254,arabian,3.6,richmond town,200
Thalassery Restaurant,254,beverages,3.6,richmond town,200
Thalassery Restaurant,254,shake,3.6,richmond town,200
Al Daaz,1568,north indian,4.3,hsr,200
Al Daaz,1568,mughlai,4.3,hsr,200
Al Daaz,1568,continental,4.3,hsr,200
Al Daaz,1568,fast food,4.3,hsr,200
Al Daaz,1568,biryani,4.3,hsr,200
Al Daaz,1568,beverages,4.3,hsr,200
Al Daaz,1568,desserts,4.3,hsr,200
Mani's Dum Biryani,252,biryani,4.2,ulsoor,200
Mani's Dum Biryani,252,kebab,4.2,ulsoor,200
Kabab Magic,139,north indian,3.6,richmond town,100
Kabab Magic,139,kebab,3.6,richmond town,100
Kabab Magic,139,hyderabadi,3.6,richmond town,100
Kabab Magic,139,mughlai,3.6,richmond town,100
Kabab Magic,139,chinese,3.6,richmond town,100
Kabab Magic,139,rolls,3.6,richmond town,100
Polar Bear,2,ice cream,4.5,cv raman nagar,100
Polar Bear,2,desserts,4.5,cv raman nagar,100
Polar Bear,2,beverages,4.5,cv raman nagar,100
Polar Bear,2,shake,4.5,cv raman nagar,100
Kanti Sweets,3585,mithai,4.3,old airport road,100
Kanti Sweets,3585,street food,4.3,old airport road,100
Kritunga Restaurant,1698,andhra,3.7,marathahalli,100
Kritunga Restaurant,1698,south indian,3.7,marathahalli,100
Kritunga Restaurant,1698,north indian,3.7,marathahalli,100
Kritunga Restaurant,1698,biryani,3.7,marathahalli,100
Kritunga Restaurant,1698,chinese,3.7,marathahalli,100
Kritunga Restaurant,1698,seafood,3.7,marathahalli,100
MOJO Pizza - 2X Toppings,9126,pizza,4.4,indiranagar,100
MOJO Pizza - 2X Toppings,9126,fast food,4.4,indiranagar,100
MOJO Pizza - 2X Toppings,9126,desserts,4.4,indiranagar,100
MOJO Pizza - 2X Toppings,9126,beverages,4.4,indiranagar,100
Corner House Ice Creams,730,ice cream,4.5,residency road,100
Corner House Ice Creams,730,desserts,4.5,residency road,100
Corner House Ice Creams,730,shake,4.5,residency road,100
Beijing Bites,274,chinese,4.1,frazer town,100
Beijing Bites,274,thai,4.1,frazer town,100
Beijing Bites,274,seafood,4.1,frazer town,100
Beijing Bites,274,healthy food,4.1,frazer town,100
Beijing Bites,274,sichuan,4.1,frazer town,100
Andhra Gunpowder,11267,andhra,4.2,near jeevan bhima nagar,100
