restaurant_name,Review,cusine,rating,place,price
Bucket Biryani,7,"North Indian, Biryani, Chinese, Mughlai",4.1,brigade road,500
Ghee Tadka Khichdi,1627,"North Indian, Street Food",4.4,jeevan bhima nagar,500
Apsara Ice Creams,391,"Ice Cream, Desserts",4.2,cv raman nagar,500
New Taj Darbar,64,"North Indian, Chinese, Mughlai, Biryani",3.6,shivajinagar,500
Aubree,30,"Bakery, Fast Food, Italian, Thai, Desserts",4.2,mg road,500
Absolute Shawarma,54,"Lebanese, Rolls",3.8,thippasandra,500
Suchithra Biryani House,360,"Biryani, North Indian, Chinese, Seafood, Mughlai",4.1,old airport road,500
1522 - The Pub,108,"Chinese, North Indian, Continental, Finger Food, Seafood, Beverages",4.3,residency road,500
RS Shiv Sagar,344,"North Indian, South Indian, Asian, Continental, Chinese, Beverages, Desserts",3.8,mg road,500
Chopstick,688,"Chinese, Sichuan",3.7,jeevan bhima nagar,500
Mainland China,2360,"Chinese, Asian, Sushi, Momos, Japanese, Thai, Beverages",4.2,church street,500
Aligarh House by EatFit,321,"Biryani, North Indian, Kebab, Desserts, Beverages",3.6,banaswadi,500
Sangam Sweets,1,"Mithai, Fast Food, Street Food, Beverages",4.0,kalyan nagar,500
Hotel Fanoos,847,"Rolls, Biryani, Fast Food, Arabian",4.3,richmond road,500
Brik Oven,2837,"Cafe, Italian, Fast Food, Beverages, Waffle, Desserts",4.1,church street,500
Chaatimes,1335,"Street Food, Fast Food",4.1,brigade road,500
Sendhoor Coffee,171,"South Indian, Beverages",3.7,indiranagar,500
Shiv Sagar,5,"South Indian, North Indian, Oriental, Street Food, Desserts, Beverages, Shake",3.7,banaswadi,500
Magnolia Bakery,1674,"Bakery, Desserts",4.2,kr puram,500
Empire Juices and Desserts,781,"Juices, Beverages, Shake, Ice Cream",4.5,brigade road,500
Bangarpet Chats,1,Street Food,3.9,old madras road,500
The Thick Shake Factory,7,"Ice Cream, Shake, Desserts, Tea, Beverages",3.7,frazer town,500
Motis Kitchen,499,"South Indian, Kerala, Chinese, Seafood, Chettinad",4.2,thippasandra,150
Sri Srinivas Pork Hotel,41,Fast Food,3.3,ejipura,150
NOTO - Healthy Ice Cream,16,"Ice Cream, Mithai, Desserts",3.7,brigade road,150
Tomba Kitchens,79,"Naga, Chinese, Beverages",4.3,ejipura,150
Cafe Coffee Day,27,"Cafe, Fast Food, Coffee, Desserts, Beverages",4.0,ground floor garuda mall brigade road,150
Momo Monk,723,Momos,4.1,jeevan bhima nagar,150
Rahhams,1032,"Biryani, Mughlai, North Indian, Kebab, Chinese",4.1,frazer town,150
Le Arabia,72,"Arabian, North Indian, Chinese, Fast Food, Beverages, Desserts",3.5,koramangala 5th block,150
Bombay Kulfi,0,Desserts,New,koramangala 6th block,150
Indiana Burgers,2161,"Burger, Rolls, Beverages, Desserts, Shake",3.9,kaggadasapura,150
Crusto’s - Cheese Burst Pizza,18,Pizza,3.8,koramangala 6th block,150
Chichaba's Taj,553,"North Indian, Mughlai, Biryani, Kebab, Seafood, Beverages",4.0,frazer town,150
Goila Butter Chicken,123,"North Indian, Mughlai, Biryani, Rolls",4.1,koramangala 6th block,350
Sukh Sagar,520,"South Indian, North Indian, Chinese, Street Food, Ice Cream, Desserts, Beverages",4.1,koramangala 5th block,350
Chaitra Restaurant,64,"North Indian, Chinese, Andhra, Biryani, Seafood, Fast Food, South Indian",3.6,kalyan nagar,350
Sichuan,1208,"Chinese, Asian, Thai, Momos, Sichuan",4.0,jeevan bhima nagar,350
Third Wave Coffee,399,"Cafe, Coffee, Fast Food, Beverages",4.2,church street,350
Tharavadu,5,"Kerala, Biryani, Chinese, Sichuan",3.6,koramangala 5th block,350
Shanthi Sagar,211,"South Indian, North Indian, Chinese, Street Food, Desserts, Shake, Beverages",4.0,ulsoor,350
Juice Junction,124,"Juices, Beverages, Sandwich, Fast Food, Shake, Rolls, Healthy Food, Street Food",4.3,st. marks road,350
TrueCakes,154,Bakery,3.7,kammanahalli,350
Kolkata Famous Kati Roll,11,Rolls,4.0,kaggadasapura,350
Home Plate by EatFit,90,"North Indian, Beverages",3.8,banaswadi,350
Lassi Corner,1,"Beverages, Fast Food, Desserts, Shake",3.8,koramangala 8th block,350
Oh! Calcutta,1681,"Bengali, North Indian, Seafood, Mughlai",4.1,church street,400
Richie Rich,756,"Desserts, Beverages, Fast Food, Ice Cream, Shake",4.3,race course road,400
Calcutta Victoria Chat House,173,"North Indian, Street Food, Desserts, Beverages",3.8,banaswadi,400
Mother's Meal,162,"North Indian, Chinese",4.3,cv raman nagar,400
Big Bang Pizza,92,"Pizza, Fast Food, Burger, Beverages",4.0,frazer town,400
Sattvam,583,"North Indian, South Indian",3.9,whitefield,400
Al Taza,33,Lebanese,4.3,koramangala 1st block,400
Green Onion,1369,"Chinese, Seafood, Sichuan",4.2,residency road,400
Karavali Family Restaurant,28,"Mangalorean, Biryani, Chinese, South Indian",3.9,brigade road,400
Main Lassi Shop,7957,"Beverages, Ice Cream, Juices, Fast Food, Street Food, Sandwich, Shake",3.8,shivajinagar,400
Haka,362,"Chinese, Momos",4.1,church street,400
Firangi Bake,1445,"Italian, Mexican",3.9,thippasandra,400
Chung's Chinese Corner,244,"Chinese, Asian, Seafood, Thai, Sichuan",3.7,cunningham road,300
Snack House,502,"Fast Food, Momos",3.7,frazer town,300
Kulfi Shulfi- Kulfis and Ice Cream,4,"Ice Cream, Desserts",4.3,cv raman nagar,300
Fresh Bites,261,"North Indian, Chinese",3.7,banaswadi,300
Cake Menu,2416,Bakery,3.6,marathahalli,300
SLAY Coffee,575,Coffee,4.0,old airport road,300
Taj Hotel,171,"Chinese, South Indian, North Indian, Mughlai",3.8,shivajinagar,300
Burger Seigneur,184,"Cafe, Burger, Continental, Beverages, Desserts",4.2,st. marks road,300
Tapri By The Corner,177,"North Indian, Chinese",3.9,koramangala 5th block,300
Hotel Navayuga,281,"Andhra, Biryani",4.3,majestic,300
Dum Safar Biryani,79,"Biryani, Kebab, North Indian, BBQ, Desserts, Beverages",4.3,koramangala 1st block,300
Gramin,3662,"North Indian, Healthy Food, Beverages, Shake",4.1,koramangala 7th block,300
Sri Murugan Cafe,11,"South Indian, Chinese, Beverages",4.0,cv raman nagar,100
Habibi Falafel,13,"Arabian, Fast Food, Beverages, Desserts",4.2,kammanahalli,100
Delhi Food Point,525,"North Indian, Beverages",3.6,koramangala 1st block,100
Sree Krishna Kafe,958,"South Indian, Beverages",4.2,koramangala 5th block,100
FB Café By Frozen Bottle,12,Bakery,3.6,old airport road,100
Al Zara Mandi Arabian Restaurant,76,"Arabian, North Indian, Mughlai",4.0,frazer town,100
Say Cheese Cake,2497,"Bakery, Desserts, Shake",4.2,koramangala 6th block,100
Maharaja Military Canteen,66,South Indian,3.6,cunningham road,100
Hotel Salala,100,"North Indian, South Indian, Chinese, Mughlai",3.8,old airport road,100
Tandoori Taal,84,"North Indian, Seafood, Desserts",4.0,race course road,100
Namma Madurai,62,South Indian,4.2,thippasandra,100
Swiss Cream,114,"Ice Cream, Waffle, Desserts, Sandwich, Shake, Beverages",4.0,old madras road,100
Sindhoora Gardenia,0,"Andhra, North Indian, Mughlai, Chinese, Seafood, Biryani, Beverages, Desserts",New,kr puram,300
Tawakkal Mubarak Hotel,12,"Mughlai, Biryani",3.7,old airport road,300
Kabab Biryani Corner,39,"South Indian, Chinese, Rolls, North Indian",3.6,near richmond road,300
Kanti Bakes & Flakes,241,"Bakery, Desserts, Mithai",4.5,old madras road,300
Olio - The Wood Fired Pizzeria,20,"Pizza, Italian",3.6,koramangala 6th block,300
Savitha Family Restaurant,291,"North Indian, Chinese, Seafood, Mughlai, Desserts, Beverages, Sichuan",3.8,koramangala 4th block,300
Louis Burger,1316,"Burger, Fast Food",4.1,koramangala 6th block,300
Fiero! Pizzeria,266,"Pizza, Fast Food",3.9,koramangala 6th block,300
Lakeview Milkbar,1698,"Desserts, Cafe, Fast Food, Sandwich, Burger, Ice Cream, Shake",4.0,mg road,300
Hyderabadi Biryani Utsav,233,"Biryani, Hyderabadi, North Indian, Chinese, Fast Food",4.0,old madras road,300
Juicy,142,"Beverages, Juices, Fast Food, Sandwich, Shake",4.0,old airport road,300
Asia Kitchen By Mainland China,6,"Chinese, Momos, Thai, Asian, Seafood, Sushi, Beverages",4.1,church street,300
Karim's Delhi 6,55,"Mughlai, North Indian, Rolls",4.0,st. marks road,300
Kunafa World,101,Desserts,4.5,frazer town,300
Malabar Hotel,0,Kerala,4.0,kaggadasapura,300
Carols Pastries & Bakers,421,"Bakery, Desserts",4.0,rammurthy nagar,300
Keventers Ice Cream,75,"Ice Cream, Desserts, Shake, Beverages",4.3,near brigade road,300
Boss Burger,294,"Burger, Fast Food, Desserts, Beverages, Shake",4.2,lavelle road,300
Carols Pastries & Bakers,633,"Bakery, Desserts",4.3,vasanth nagar,300
Just Cakes,174,"Bakery, Desserts",4.1,btm,300
Church Street Social,8003,"North Indian, Chinese, Biryani, Burger, Pasta, Pizza, Kebab, Rolls",4.1,church street,300
Salt - Indian Restaurant Bar & Grill,1725,"North Indian, BBQ, Biryani, Mughlai, Fast Food, Beverages, Desserts",4.1,koramangala 7th block,300
BigBites,309,"Fast Food, Momos, Street Food",4.2,near jeevan bhima nagar,300
Dawat Durbar,446,"Mughlai, North Indian",3.8,shivajinagar,300
Karama Restaurant,4122,"Arabian, Mughlai, Seafood, North Indian, Kashmiri, Biryani, Desserts",4.0,frazer town,100
No Sugar Please!,254,"Juices, Beverages, Healthy Food",4.4,koramangala 1st block,100
Giani Icecream,6,"Ice Cream, Beverages, Desserts, Shake",3.9,frazer town,100
Burger It Up,90,"Burger, Beverages, Desserts, American, Cafe",4.0,kr puram,100
Udupi Krishna Grand,12,"South Indian, North Indian, Chinese, Street Food, Beverages, Shake",3.9,kalyan nagar,100
Umpire Chicken County,650,"Chinese, North Indian, Biryani, Rolls",3.7,richmond road,100
Sagar Delicacy,99,"North Indian, Chinese, South Indian, Beverages",4.2,ulsoor,100
Kouzina Kafe - The Food Court,160,"Fast Food, Bakery, Desserts, Shake",4.2,kr puram,100
