id,hotel,link,cusine,rating,price_for_one
293,Nasi And Mee,https://www.zomato.com/bangalore/nasi-and-mee-koramangala-4th-block/order,"Asian, Japanese, Singaporean, Malaysian, Thai",4.3,₹200 for one
294,Art of Delight,https://www.zomato.com/bangalore/art-of-delight-residency-road/order,"Ice Cream, Desserts, Waffle, Beverages",4.2,₹200 for one
295,Thali 99,https://www.zomato.com/bangalore/thali-99-ulsoor-bangalore/order,"North Indian, Mughlai",3.1,₹200 for one
296,KC Das - Sweet Bite,https://www.zomato.com/bangalore/kc-das-sweet-bite-frazer-town/order,"Mithai, Street Food, Mishti, Bengali",4.0,₹200 for one
297,Delicious Momos,https://www.zomato.com/bangalore/delicious-momos-kammanahalli/order,"Chinese, Momos, Sichuan",4.2,₹200 for one
298,Zwarma,https://www.zomato.com/bangalore/zwarma-ulsoor-bangalore/order,"Shawarma, BBQ, Fast Food, Beverages",3.3,₹150 for one
299,Samosa Singh,https://www.zomato.com/bangalore/samosa-singh-thippasandra-bangalore/order,"Street Food, Fast Food, Tea, North Indian",3.5,₹150 for one
300,North Indian Bhukkads - NIB,https://www.zomato.com/bangalore/north-indian-bhukkads-nib-koramangala-1st-block-bangalore/order,"Street Food, North Indian, Biryani",3.9,₹150 for one
301,Barley & Grapes Cafe,https://www.zomato.com/bangalore/barley-grapes-cafe-whitefield-bangalore/order,"Italian, Continental, Fast Food, Street Food, Ice Cream, Desserts",3.5,₹150 for one
302,Food Manthra,https://www.zomato.com/bangalore/food-manthra-ulsoor-bangalore/order,"North Indian, Chinese, Biryani, Rolls, South Indian",3.6,₹150 for one
303,ITC Sunfeast Baked Creations,https://www.zomato.com/bangalore/itc-sunfeast-baked-creations-banaswadi-bangalore/order,"Bakery, Desserts, , Cafe, Continental, Sandwich",4.5,₹150 for one
304,The Brooklyn Creamery - Healthy Ice Cream,https://www.zomato.com/bangalore/the-brooklyn-creamery-healthy-ice-cream-airport-road-bangalore/order,Ice Cream,4.1,₹150 for one
305,Delhi 6 Chandni Chowk,https://www.zomato.com/bangalore/delhi-6-chandni-chowk-1-kaggadasapura-bangalore/order,"North Indian, Fast Food, Mughlai, Street Food, Chinese, Desserts",3.9,₹150 for one
306,Brahmins Tiffin Centre,https://www.zomato.com/bangalore/brahmins-tiffin-centre-thippasandra-bangalore/order,South Indian,4.1,₹150 for one
307,India Sweet House,https://www.zomato.com/bangalore/india-sweet-house-frazer-town-bangalore/order,"Mithai, Street Food",4.0,₹150 for one
308,Grow Fit,https://www.zomato.com/bangalore/grow-fit-1-koramangala-6th-block/order,"Healthy Food, Desserts, Beverages",3.9,₹150 for one
309,Udupi Food Point,https://www.zomato.com/bangalore/udupi-food-point-banaswadi-bangalore/order,"South Indian, Chinese",4.0,₹150 for one
310,Oru Vadakkan Cafe,https://www.zomato.com/bangalore/oru-vadakkan-cafe-koramangala-5th-block-bangalore/order,"Kerala, South Indian, Biryani, Seafood, Beverages",4.1,₹150 for one
311,Malabar,https://www.zomato.com/bangalore/malabar-jeevan-bhima-nagar/order,"South Indian, Kerala, Biryani, Street Food, Beverages",3.7,₹150 for one
312,Tamarind - Tamarind Hospitality,https://www.zomato.com/bangalore/tamarind-tamarind-hospitality-banaswadi/order,"Chinese, Continental, North Indian",4.3,₹150 for one
313,Simpli Namdhari's,https://www.zomato.com/bangalore/simpli-namdharis-1-brigade-road-bangalore/order,"Asian, Fast Food, Chinese, North Indian, Beverages, Salad",3.3,₹150 for one
314,Paratha Corner,https://www.zomato.com/bangalore/paratha-corner-cv-raman-nagar-bangalore/order,"North Indian, Street Food, Beverages",3.9,₹150 for one
315,Paratha Plaza,https://www.zomato.com/bangalore/paratha-plaza-kaggadasapura-bangalore/order,"North Indian, Chinese, Beverages",4.3,₹150 for one
316,AL Bain Restaurant,https://www.zomato.com/bangalore/al-bain-restaurant-kammanahalli-bangalore/order,"North Indian, Arabian, Chinese, Lebanese, Desserts, Beverages",3.4,₹150 for one
317,Oh My Shawarma,https://www.zomato.com/bangalore/oh-my-shawarma-koramangala-6th-block-bangalore/order,Lebanese,4.0,₹150 for one
318,The Betel Leaf Co - Originally from Bangalore,https://www.zomato.com/bangalore/the-betel-leaf-co-originally-from-bangalore-koramangala-6th-block-bangalore/order,"Paan, Desserts",4.4,₹150 for one
319,Smoke House Deli,https://www.zomato.com/SmokeHouseDeli-LavelleRoad/order,"Italian, Pasta, Burger, Salad, Sandwich, Healthy Food, Continental",4.1,₹150 for one
320,Chef's Cap,https://www.zomato.com/bangalore/chefs-cap-1-airport-road-bangalore/order,"Chinese, Sichuan",4.3,₹150 for one
321,New Taj Hotel,https://www.zomato.com/bangalore/new-taj-hotel-airport-road-bangalore/order,"Biryani, Mughlai",3.9,₹150 for one
322,Kenny's Restaurant,https://www.zomato.com/bangalore/kennys-restaurant-1-banaswadi/order,"Chinese, Sichuan",3.9,₹150 for one
323,Lassi Shop,https://www.zomato.com/bangalore/lassi-shop-3-frazer-town-bangalore/order,"Beverages, Ice Cream, Desserts, Shake",3.3,₹150 for one
324,Go Native,https://www.zomato.com/bangalore/go-native-1-lavelle-road-bangalore/order,"Healthy Food, North Indian, South Indian, Fast Food, Beverages, Desserts",4.4,₹150 for one
325,Mangalore Pearl - Seafood Restaurant,https://www.zomato.com/bangalore/mangalore-pearl-seafood-restaurant-ulsoor-bangalore/order,"Mangalorean, Seafood, Desserts",4.2,₹150 for one
326,Baba Ganoush Cafe,https://www.zomato.com/bangalore/baba-ganoush-cafe-frazer-town-bangalore/order,"Fast Food, Arabian, Lebanese, Beverages, Desserts",4.2,₹150 for one
327,Barkaas- Arabic Restaurant,https://www.zomato.com/bangalore/barkaas-arabic-restaurant-marathahalli-bangalore/order,"Arabian, North Indian, Mughlai, Fast Food, Shawarma, Desserts",3.5,₹150 for one
328,Chandni Chowk 2 Bangalore,https://www.zomato.com/bangalore/chandni-chowk-2-bangalore-kammanahalli-bangalore/order,"North Indian, Street Food, Chinese, Fast Food, Momos, Desserts",3.6,₹150 for one
329,Sri Ganesh Juice Junction,https://www.zomato.com/bangalore/sri-ganesh-juice-junction-koramangala-5th-block-bangalore/order,"Beverages, Juices, Fast Food, Shake",3.8,₹150 for one
330,Karim's - Original From Delhi 6 Jama Masjid,https://www.zomato.com/bangalore/karims-original-from-delhi-6-jama-masjid-marathahalli-bangalore/order,"Mughlai, North Indian, Rolls, Kebab",3.5,₹150 for one
331,Raffaele's Ristorante Pizzeria,https://www.zomato.com/bangalore/raffaeles-ristorante-pizzeria-koramangala-6th-block-bangalore/order,"Pizza, Italian, Burger, Beverages",4.0,₹150 for one
332,The Biryanis,https://www.zomato.com/bangalore/the-biryanis-jeevan-bhima-nagar/order,"Andhra, Biryani, North Indian, Seafood, Chinese, Kebab, Desserts, Beverages",3.9,₹150 for one
333,Restaurant Chef Pillai,https://www.zomato.com/bangalore/restaurant-chef-pillai-whitefield-bangalore/order,"South Indian, Seafood, Biryani, Beverages, Desserts",4.2,₹150 for one
334,Bake N Bloom,https://www.zomato.com/bangalore/bake-n-bloom-residency-road-bangalore/order,"Bakery, Desserts",4.3,₹100 for one
335,The Fatty Bao,https://www.zomato.com/bangalore/the-fatty-bao-lavelle-road-bangalore/order,"Asian, Japanese, Sushi, Chinese, Thai, Momos, Beverages",3.8,₹100 for one
336,Tibb's Frankie,https://www.zomato.com/bangalore/tibbs-frankie-shivajinagar-bangalore/order,Rolls,4.0,₹100 for one
337,Sweet Chariot,https://www.zomato.com/bangalore/sweet-chariot-jeevan-bhima-nagar/order,"Bakery, Desserts",4.0,₹100 for one
338,The Pastry Zone,https://www.zomato.com/bangalore/the-pastry-zone-kalyan-nagar-bangalore/order,"Bakery, Desserts",3.8,₹100 for one
339,Mizo Kitchen,https://www.zomato.com/bangalore/mizo-kitchen-koramangala-5th-block-bangalore/order,"North Eastern, Chinese",4.3,₹100 for one
340,Rajpurohit Sweets,https://www.zomato.com/bangalore/rajpurohit-sweets-banaswadi/order,"Mithai, Street Food",4.2,₹100 for one
341,Kentacky Chicken Corner,https://www.zomato.com/bangalore/kentacky-chicken-corner-richmond-road/order,South Indian,4.0,₹100 for one
342,Grill Hut,https://www.zomato.com/bangalore/grill-hut-2-kaggadasapura-bangalore/order,"Rolls, Kebab, Burger, Biryani",4.0,₹100 for one
343,Lavonne,https://www.zomato.com/bangalore/lavonne-st-marks-road-bangalore/order,"Cafe, Fast Food, Bakery, Beverages, Desserts",4.2,₹100 for one
344,The Kebabwalla,https://www.zomato.com/bangalore/the-kebabwalla-2-koramangala-8th-block-bangalore/order,"North Indian, Kebab, Rolls",4.0,₹100 for one
345,Happy Belly Bakes,https://www.zomato.com/bangalore/happy-belly-bakes-mg-road/order,"Bakery, Desserts, Cafe, Beverages",4.5,₹100 for one
346,Chinita Real Mexican Food,https://www.zomato.com/bangalore/chinita-real-mexican-food-koramangala-5th-block/order,"Mexican, Salad, Beverages, Desserts",4.2,₹400 for one
347,Plan B,https://www.zomato.com/bangalore/plan-b-brigade-road/order,"American, Continental, Bar Food, Chinese, Fast Food, Pizza, Burger, Beverages",4.2,₹400 for one
348,Login 2 Eat,https://www.zomato.com/bangalore/login-2-eat-koramangala-4th-block-bangalore/order,"North Indian, Mughlai, Chinese, Biryani, BBQ, Kebab, Street Food",3.8,₹400 for one
349,Sri Krishna Nanda Gokul Veg Restaurant,https://www.zomato.com/bangalore/sri-krishna-nanda-gokul-veg-restaurant-1-banaswadi-bangalore/order,"South Indian, North Indian, Chinese, Street Food, Beverages, Shake",3.8,₹400 for one
350,Copper Chimney,https://www.zomato.com/bangalore/copper-chimney-1-whitefield-bangalore/order,"North Indian, Mughlai, Biryani, Beverages",3.9,₹400 for one
351,The Coorg Food Co.,https://www.zomato.com/bangalore/the-coorg-food-co-koramangala-6th-block-bangalore/order,South Indian,3.9,₹400 for one
352,FoodX Restaurant,https://www.zomato.com/bangalore/foodx-restaurant-vasanth-nagar-bangalore/order,"Chinese, South Indian, Beverages, Sichuan",4.1,₹400 for one
353,Paratha Plaza,https://www.zomato.com/bangalore/paratha-plaza-1-koramangala-4th-block-bangalore/order,North Indian,4.0,₹400 for one
354,Arabian Hot Spot,https://www.zomato.com/bangalore/arabian-hot-spot-kalyan-nagar-bangalore/order,"Arabian, Mughlai, North Indian, Beverages, Juices",4.0,₹400 for one
355,Steve's Fast Food,https://www.zomato.com/bangalore/steves-fast-food-airport-road-bangalore/order,"Chinese, Momos, Seafood",3.9,₹400 for one
356,Taste Of Tibet,https://www.zomato.com/bangalore/taste-of-tibet-brigade-road/order,"Chinese, Street Food, Momos, Sichuan",4.0,₹400 for one
357,Bhojohori Manna,https://www.zomato.com/bangalore/bhojohori-manna-koramangala-6th-block/order,"Bengali, Desserts",3.8,₹400 for one
358,Rajhans,https://www.zomato.com/bangalore/rajhans-st-marks-road-bangalore/order,"North Indian, Chinese, Fast Food, Sichuan, Beverages",3.7,₹150 for one
359,The Tea Brewery,https://www.zomato.com/bangalore/the-tea-brewery-2-koramangala-1st-block-bangalore/order,"Tea, Fast Food, Beverages",4.4,₹150 for one
360,Shyamji's Chole Bhature,https://www.zomato.com/bangalore/shyamjis-chole-bhature-koramangala-5th-block-bangalore/order,"Street Food, North Indian",4.1,₹150 for one
361,Pizza Stop,https://www.zomato.com/bangalore/pizza-stop-lavelle-road/order,"Pasta, Pizza, Fast Food",4.1,₹150 for one
362,Brindavan Upachar,https://www.zomato.com/bangalore/brindavan-upachar-kammanahalli-bangalore/order,"South Indian, North Indian, Chinese",4.1,₹150 for one
363,The Salad Studio,https://www.zomato.com/bangalore/the-salad-studio-koramangala-5th-block-bangalore/order,"Salad, Healthy Food",4.3,₹150 for one
364,Kabab Magic Roll,https://www.zomato.com/bangalore/kabab-magic-roll-1-richmond-road-bangalore/order,"Chinese, Fast Food, Rolls, BBQ",3.6,₹150 for one
365,New Green Gardenia,https://www.zomato.com/bangalore/new-green-gardenia-rammurthy-nagar-bangalore/order,"North Indian, Chinese, Mughlai, Andhra, Kebab, Desserts, Beverages, Sichuan",3.6,₹150 for one
366,Sri Basaveshwara Khanavali,https://www.zomato.com/bangalore/sri-basaveshwara-khanavali-cv-raman-nagar-bangalore/order,South Indian,4.0,₹150 for one
367,Saffron Vegetarian Cuisine,https://www.zomato.com/bangalore/saffron-vegetarian-cuisine-banaswadi/order,"North Indian, Chinese, Mexican",4.1,₹150 for one
368,Foodism.in,https://www.zomato.com/bangalore/foodism-in-kammanahalli-bangalore/order,"North Indian, Chinese, Beverages, Sichuan, Street Food",3.6,₹150 for one
369,The Baklava Company,https://www.zomato.com/bangalore/the-baklava-company-mg-road-bangalore/order,"Mithai, Desserts",4.0,₹150 for one
370,Not Just Parathas,https://www.zomato.com/bangalore/not-just-parathas-kaggadasapura/order,"North Indian, Mughlai, Chinese, Rolls, Kebab, Sichuan, Momos",3.9,₹150 for one
371,Chaat Point,https://www.zomato.com/bangalore/chaat-point-2-frazer-town-bangalore/order,Street Food,4.2,₹150 for one
372,Anupam's Coast II Coast,https://www.zomato.com/bangalore/anupams-coast-ii-coast-church-street-bangalore/order,"Chinese, Mangalorean, North Indian, Mughlai, Seafood, Beverages, Desserts",4.3,₹150 for one
373,Artinci - Indulge Guilt Free!,https://www.zomato.com/bangalore/artinci-indulge-guilt-free-airport-road-bangalore/order,"Desserts, Ice Cream, Bakery",4.1,₹150 for one
374,Saapad Raman,https://www.zomato.com/bangalore/saapad-raman-kammanahalli-bangalore/order,"South Indian, Biryani, Andhra",3.9,₹150 for one
375,The Only Place,https://www.zomato.com/bangalore/the-only-place-church-street/order,"Italian, Steak, Continental, Fast Food, Desserts, Beverages",4.2,₹150 for one
376,Mamagoto,https://www.zomato.com/bangalore/mamagoto-koramangala-1st-block-bangalore/order,"Asian, Chinese, Sushi, Thai",3.8,₹150 for one
377,MISU,https://www.zomato.com/bangalore/misu-st-marks-road-bangalore/order,"Asian, Japanese, Thai, Burmese, Korean, Indonesian, Vietnamese, Singaporean",4.2,₹150 for one
378,Jalandhar Junction,https://www.zomato.com/bangalore/jalandhar-junction-banaswadi-bangalore/order,"North Indian, Chinese, Beverages, Desserts, Sichuan",3.6,₹150 for one
379,Hyderabad Biryani Zone,https://www.zomato.com/bangalore/hyderabad-biryani-zone-rammurthy-nagar-bangalore/order,"Biryani, North Indian, Chinese, Mughlai, Seafood, Kebab, Rolls, Sichuan",3.4,₹150 for one
380,Simply Andhra,https://www.zomato.com/bangalore/simply-andhra-kammanahalli-bangalore/order,"South Indian, Andhra",3.3,₹150 for one
381,Appu's Donne Biryani,https://www.zomato.com/bangalore/appus-donne-biryani-koramangala-6th-block-bangalore/order,"Biryani, Kebab, South Indian",4.0,₹150 for one
382,Pizza House,https://www.zomato.com/bangalore/pizza-house-frazer-town-bangalore/order,"Burger, Pizza, Street Food, Fast Food, Shake, Beverages, Ice Cream",-,₹150 for one
383,Sendhoor Nataraaj Restaurant,https://www.zomato.com/bangalore/sendhoor-nataraaj-restaurant-ulsoor-bangalore/order,"Kebab, Biryani, BBQ, Roast Chicken",4.3,₹150 for one
384,Homely MealBox,https://www.zomato.com/bangalore/homely-mealbox-koramangala-1st-block-bangalore/order,"Chinese, North Indian",3.9,₹150 for one
385,Kartiks Mithai Shoppe,https://www.zomato.com/bangalore/kartiks-mithai-shoppe-kaggadasapura-bangalore/order,"Mithai, Street Food",4.3,₹150 for one
386,Dairy Day Ice Creams,https://www.zomato.com/bangalore/dairy-day-ice-creams-airport-road-bangalore/order,"Ice Cream, Desserts",4.0,₹150 for one
387,Paratha Box by EatFit,https://www.zomato.com/bangalore/paratha-box-by-eatfit-banaswadi-bangalore/order,"North Indian, Desserts, Beverages",3.4,₹150 for one
388,Puliyogare Palace,https://www.zomato.com/bangalore/puliyogare-palace-kammanahalli-bangalore/order,North Indian,2.9,₹150 for one
389,Arabian Mataam,https://www.zomato.com/bangalore/arabian-mataam-frazer-town-bangalore/order,"Arabian, North Indian, Mughlai, Mandi",4.0,₹150 for one
390,B Track,https://www.zomato.com/bangalore/b-track-kammanahalli-bangalore/order,"Chinese, Naga, Continental",3.8,₹150 for one
391,Coastal Machali Co.,https://www.zomato.com/bangalore/coastal-machali-co-residency-road-bangalore/order,"Asian, Mangalorean, Seafood, South Indian, North Indian, Chinese, Beverages, Sichuan",3.7,₹150 for one
392,Hotel Green Tara,https://www.zomato.com/bangalore/hotel-green-tara-brigade-road/order,"Chinese, Tibetan, Sichuan",4.3,₹150 for one
393,Maedah,https://www.zomato.com/bangalore/maedah-koramangala-8th-block-bangalore/order,"North Indian, Chinese, Arabian, Mughlai, Kebab, Beverages, Desserts",3.3,₹150 for one
394,Gudbud,https://www.zomato.com/bangalore/gudbud-ejipura-bangalore/order,"Ice Cream, Shake, Beverages",4.3,₹150 for one
395,Mane Holige,https://www.zomato.com/bangalore/mane-holige-1-koramangala-6th-block-bangalore/order,Mithai,4.4,₹150 for one
396,Nando's,https://www.zomato.com/bangalore/nandos-whitefield-bangalore/order,"Burger, Fast Food, Portuguese",4.0,₹150 for one
397,Layer Bites,https://www.zomato.com/bangalore/layer-bites-marathahalli-bangalore/order,Bakery,3.9,₹150 for one
398,Nomad Pizza - Traveller Series,https://www.zomato.com/bangalore/nomad-pizza-traveller-series-bommanahalli-bangalore/order,"Beverages, Pizza",4.0,₹150 for one
399,Sundae Everyday Ice Creams,https://www.zomato.com/bangalore/sundae-everyday-ice-creams-kaggadasapura-bangalore/order,"Beverages, Ice Cream, Desserts",3.6,₹150 for one
400,HRX by EatFit,https://www.zomato.com/bangalore/hrx-by-eatfit-banaswadi-bangalore/order,"Healthy Food, Beverages, Mediterranean, Burger, Desserts, Wraps, Pizza, Salad",3.9,₹150 for one
401,Rannaghar,https://www.zomato.com/bangalore/rannaghar-1-kaggadasapura-bangalore/order,"Bengali, Chinese, Sichuan",4.0,₹150 for one
402,Hyderabad Biryaani House,https://www.zomato.com/bangalore/hyderabad-biryaani-house-kalyan-nagar-bangalore/order,"Biryani, Chinese, Seafood, North Indian",New,₹150 for one
403,Lhenzom Tibetan Restaurant,https://www.zomato.com/bangalore/lhenzom-tibetan-restaurant-1-banaswadi-bangalore/order,"Tibetan, Korean, Chinese, Fast Food, Momos, Beverages, Sichuan",4.1,₹150 for one
404,Yak's Kitchen,https://www.zomato.com/bangalore/yaks-kitchen-shanti-nagar-bangalore/order,"Tibetan, Sushi, Chinese, Beverages",4.2,₹150 for one
405,The Mangalorean,https://www.zomato.com/bangalore/the-mangalorean-kammanahalli-bangalore/order,"Mangalorean, Seafood, North Indian, Konkan",4.1,₹150 for one
406,Maalgaadi By Dhaba Estd 1986 Delhi,https://www.zomato.com/bangalore/maalgaadi-by-dhaba-estd-1986-delhi-koramangala-1st-block-bangalore/order,"North Indian, Mughlai, Kebab",4.0,₹250 for one
407,Sarathi Kitchen,https://www.zomato.com/bangalore/sarathi-kitchen-koramangala-5th-block-bangalore/order,"Bengali, Mughlai",3.4,₹250 for one
408,Mr. Momo,https://www.zomato.com/bangalore/mr-momo-ulsoor-bangalore/order,"Momos, Chinese",3.9,₹250 for one
409,Fabelle Chocolates - WelcomHotel By ITC Hotels,https://www.zomato.com/bangalore/fabelle-chocolates-welcomhotel-by-itc-hotels-richmond-road-bangalore/order,"Bakery, Desserts, Beverages, Ice Cream, Mithai, Juices, Bengali",4.0,₹250 for one
410,Manasa Fishland,https://www.zomato.com/bangalore/manasa-fishland-kalyan-nagar/order,"Biryani, Chinese, Mangalorean, Seafood, Beverages",3.6,₹250 for one
411,Hotel Shangrila,https://www.zomato.com/bangalore/hotel-shangrila-brigade-road/order,"Chinese, Tibetan, Asian, Sichuan",4.0,₹250 for one
412,New Krishna Sagar,https://www.zomato.com/bangalore/new-krishna-sagar-1-cv-raman-nagar/order,"South Indian, North Indian, Chinese",3.5,₹250 for one
413,Sri Krishna Nandagokula Veg,https://www.zomato.com/bangalore/sri-krishna-nandagokula-veg-indiranagar-bangalore/order,"South Indian, North Indian, Chinese, Street Food, Beverages",4.2,₹250 for one
414,Porkeats,https://www.zomato.com/bangalore/porkeats-koramangala-6th-block-bangalore/order,"Goan, Mangalorean, Fast Food",3.9,₹250 for one
415,Baking Bad,https://www.zomato.com/bangalore/baking-bad-indiranagar-bangalore/order,"Pizza, Fast Food",4.1,₹250 for one
416,DA Ying Yang Cuisines,https://www.zomato.com/bangalore/da-ying-yang-cuisines-vasanth-nagar-bangalore/order,"Chinese, Fast Food, Sichuan",4.1,₹250 for one
417,A1 99 Veriety Dosa Corner,https://www.zomato.com/bangalore/a1-99-veriety-dosa-corner-kaggadasapura-bangalore/order,South Indian,4.2,₹250 for one
418,Fujan,https://www.zomato.com/bangalore/fujan-frazer-town/order,"Chinese, Asian, Sichuan",3.8,₹200 for one
419,Wat-a-Burger! India Ka Burger,https://www.zomato.com/bangalore/wat-a-burger-india-ka-burger-airport-road-bangalore/order,"Burger, Shake",4.2,₹200 for one
420,Bengali Dhekur,https://www.zomato.com/bangalore/bengali-dhekur-koramangala-1st-block-bangalore/order,"Bengali, Fast Food",3.5,₹200 for one
421,Sea Rock,https://www.zomato.com/bangalore/sea-rock-seshadripuram/order,"Mangalorean, Mughlai, South Indian, Chinese, Sichuan",4.2,₹200 for one
422,Roti Curry & Co,https://www.zomato.com/bangalore/roti-curry-co-ulsoor-bangalore/order,"North Indian, Desserts",4.6,₹200 for one
423,Bowl Soul,https://www.zomato.com/bangalore/bowl-soul-cv-raman-nagar-bangalore/order,"Fast Food, Beverages",4.0,₹200 for one
424,The Noodle Theory,https://www.zomato.com/bangalore/the-noodle-theory-seshadripuram-bangalore/order,"Chinese, Sushi, Beverages",4.3,₹200 for one
425,The Sugar Free Keto Kafe - Artinci,https://www.zomato.com/bangalore/the-sugar-free-keto-kafe-artinci-airport-road-bangalore/order,"Desserts, Ice Cream, Bakery",4.0,₹200 for one
426,Bidadi Thatte Idli,https://www.zomato.com/bangalore/bidadi-thatte-idli-kaggadasapura-bangalore/order,"South Indian, Beverages",3.5,₹200 for one
427,Kolkataz,https://www.zomato.com/bangalore/kolkataz-cv-raman-nagar/order,"Bengali, North Indian, Chinese, Rolls",4.1,₹200 for one
428,Zamindar,https://www.zomato.com/bangalore/zamindar-kalyan-nagar-bangalore/order,"Biryani, Mughlai, North Indian, Seafood, Beverages",4.0,₹200 for one
429,Drunken Monkey,https://www.zomato.com/bangalore/drunken-monkey-koramangala-4th-block-bangalore/order,Beverages,3.2,₹200 for one
430,Connie's Steakhouse Kitchen,https://www.zomato.com/bangalore/connies-steakhouse-kitchen-koramangala-4th-block-bangalore/order,"Steak, Continental, American, Burger, Desserts, Pasta, Seafood, Beverages",4.0,₹450 for one
431,Naachiyar's,https://www.zomato.com/bangalore/naachiyars-1-ulsoor/order,"Chettinad, Biryani",4.0,₹450 for one
432,Goli Vada Pav No 1,https://www.zomato.com/bangalore/goli-vada-pav-no-1-airport-road-bangalore/order,"Street Food, Burger, Fast Food, Ice Cream",4.1,₹450 for one
433,Kanti Sweets,https://www.zomato.com/bangalore/kanti-sweets-mg-road-bangalore/order,"Mithai, Street Food",4.6,₹450 for one
434,Cream Stone,https://www.zomato.com/bangalore/cream-stone-indiranagar/order,"Ice Cream, Desserts, Beverages, Shake",4.1,₹450 for one
435,Natraj Chole Bhature,https://www.zomato.com/bangalore/natraj-chole-bhature-indiranagar-bangalore/order,North Indian,4.1,₹450 for one
436,Sri Udupi Grand,https://www.zomato.com/bangalore/sri-udupi-grand-brigade-road-bangalore/order,"South Indian, North Indian, Chinese, Beverages, Shake",3.7,₹450 for one
437,Cravisthan,https://www.zomato.com/bangalore/cravisthan-domlur-bangalore/order,North Indian,4.0,₹450 for one
438,Fabelle Chocolates - ITC Green Center,https://www.zomato.com/bangalore/fabelle-chocolates-itc-green-center-banaswadi-bangalore/order,Desserts,4.0,₹450 for one
439,Midnight Hunger Solutions 24/7,https://www.zomato.com/bangalore/midnight-hunger-solutions-24-7-indiranagar-bangalore/order,"Chinese, Biryani, North Indian",3.8,₹450 for one
440,Amul Ice Cream Parlour,https://www.zomato.com/bangalore/amul-ice-cream-parlour-banaswadi-bangalore/order,"Desserts, Ice Cream",4.1,₹450 for one
441,Elixir-Luxury Pearls Drink,https://www.zomato.com/bangalore/elixir-luxury-pearls-drink-ulsoor-bangalore/order,"Beverages, Bubble Tea",4.2,₹450 for one
442,The Tasty Planet,https://www.zomato.com/bangalore/the-tasty-planet-richmond-road-bangalore/order,"Fast Food, Salad, Sandwich, Street Food, Beverages, Juices, Shake",4.0,₹450 for one
443,JIANG Pure Veg,https://www.zomato.com/bangalore/jiang-pure-veg-mg-road-bangalore/order,Chinese,3.8,₹450 for one
444,Vinay Upahar,https://www.zomato.com/bangalore/vinay-upahar-shivajinagar/order,"South Indian, Street Food, Beverages, Ice Cream, Juices, Shake",4.1,₹50 for one
445,Tewari Bros Mithai Shoppie,https://www.zomato.com/bangalore/tewari-bros-mithai-shoppie-commercial-street/order,"Street Food, Mithai",3.5,₹50 for one
446,Copper + Cloves @ The Organic World,https://www.zomato.com/bangalore/copper-cloves-@-the-organic-world-indiranagar-bangalore/order,"Cafe, Healthy Food, Desserts, Beverages",4.1,₹50 for one
447,SLV Grand,https://www.zomato.com/bangalore/slv-grand-brigade-road-bangalore/order,"South Indian, North Indian, Chinese, Desserts, Beverages, Shake",3.9,₹50 for one
448,Pass Me The Curry,https://www.zomato.com/bangalore/pass-me-the-curry-ulsoor-bangalore/order,"Sandwich, Burger, Rolls, Street Food",4.3,₹50 for one
449,Too Much Chutney,https://www.zomato.com/bangalore/too-much-chutney-indiranagar-bangalore/order,"South Indian, Beverages",4.1,₹50 for one
450,Vapour Pub & Brewery,https://www.zomato.com/bangalore/vapour-pub-brewery-indiranagar-bangalore/order,"North Indian, Continental, Chinese, Fast Food, Beverages, Pizza, Oriental",3.3,₹50 for one
451,Munchies,https://www.zomato.com/bangalore/munchies-richmond-town-bangalore/order,"Sandwich, Burger, Wraps, Fast Food, Shake, Beverages",4.5,₹50 for one
452,Voosh Desi Parathas,https://www.zomato.com/bangalore/voosh-desi-parathas-indiranagar-bangalore/order,North Indian,3.9,₹50 for one
453,Chota Hussain,https://www.zomato.com/bangalore/chota-hussain-thippasandra-bangalore/order,"Rolls, Fast Food",-,₹50 for one
454,The Jalsa,https://www.zomato.com/bangalore/the-jalsa-domlur-bangalore/order,"North Indian, Chinese, Street Food",-,₹50 for one
455,Chaat Paavlian,https://www.zomato.com/bangalore/chaat-paavlian-1-mg-road-bangalore/order,"South Indian, North Indian, Chinese, Street Food, Fast Food, Beverages, Desserts, Ice Cream",4.1,₹50 for one
456,BIB - Breakfast In The Box,https://www.zomato.com/bangalore/bib-breakfast-in-the-box-koramangala-4th-block-bangalore/order,Continental,3.6,₹200 for one
457,"Biryanist, The Club",https://www.zomato.com/bangalore/biryanist-the-club-indiranagar-bangalore/order,Biryani,-,₹200 for one
458,Tasty Fast Food,https://www.zomato.com/bangalore/tasty-fast-food-indiranagar-bangalore/order,"North Indian, Chinese",-,₹200 for one
459,Hokart - Sri Sai Durga 99 Variety Dosa,https://www.zomato.com/bangalore/hokart-sri-sai-durga-99-variety-dosa-indiranagar-bangalore/order,South Indian,3.8,₹200 for one
460,Mumbai 99 Variety Dosa Special,https://www.zomato.com/bangalore/mumbai-99-variety-dosa-special-brigade-road-bangalore/order,South Indian,-,₹200 for one
461,Brown Burger Co,https://www.zomato.com/bangalore/brown-burger-co-yeshwantpur-bangalore/order,"Burger, Fast Food, Beverages, Desserts",3.9,₹200 for one
462,Euphoria Bakers,https://www.zomato.com/bangalore/euphoria-bakers-jeevan-bhima-nagar-bangalore/order,Desserts,4.0,₹200 for one
