,cusine,Location,Rating,price_for_one
492,Desserts,MG Road,4.0,250
493,Coffee,MG Road,4.0,250
494,Pizza,Jeevan Bhima Nagar,4.2,250
495,Fast Food,Jeevan Bhima Nagar,4.2,250
496,Chinese,Frazer Town,3.9,250
497,Thai,Frazer Town,3.9,250
498,Chinese,Jeevan Bhima Nagar,4.1,250
499,Seafood,Jeevan Bhima Nagar,4.1,250
500,Momos,Jeevan Bhima Nagar,4.1,250
501,Sichuan,Jeevan Bhima Nagar,4.1,250
502,Biryani,Koramangala 4th Block,4.0,250
503,South Indian,Koramangala 4th Block,4.0,250
504,North Indian,Thippasandra,4.0,250
505,Pasta,Thippasandra,4.0,250
506,Italian,Thippasandra,4.0,250
507,Chinese,Jeevan Bhima Nagar,3.8,250
508,Momos,Jeevan Bhima Nagar,3.8,250
509,Burger,Jeevan Bhima Nagar,3.8,250
510,Sichuan,Jeevan Bhima Nagar,3.8,250
511,Rolls,Indiranagar,4.3,250
512,Fast Food,Indiranagar,4.3,250
513,North Indian,Indiranagar,4.3,250
514,Desserts,Indiranagar,4.3,250
515,Beverages,Indiranagar,4.3,250
516,Fast Food,Frazer Town,3.9,250
517,Burger,Frazer Town,3.9,250
518,Beverages,Frazer Town,3.9,250
519,South Indian,Koramangala 6th Block,3.7,250
520,Maharashtrian,Koramangala 6th Block,3.7,250
521,Shake,Near Brigade Road,4.3,250
522,Beverages,Near Brigade Road,4.3,250
523,Ice Cream,Near Brigade Road,4.3,250
524,Desserts,Brigade Road,4.1,250
525,Waffle,Brigade Road,4.1,250
526,Beverages,Brigade Road,4.1,250
527,Bakery,Marathahalli,3.8,250
528,North Indian,Banaswadi,4.1,250
529,Biryani,Banaswadi,4.1,250
530,Mughlai,Banaswadi,4.1,250
531,Kebab,Banaswadi,4.1,250
532,Rolls,Banaswadi,4.1,250
533,Desserts,Banaswadi,4.1,250
534,Modern Indian,Banaswadi,4.1,250
535,Biryani,Koramangala 1st Block,4.3,250
536,Chinese,Residency Road,4.1,250
537,Thai,Residency Road,4.1,250
538,Vietnamese,Residency Road,4.1,250
539,Sichuan,Residency Road,4.1,250
540,Biryani,Kammanahalli,3.5,250
541,South Indian,Kammanahalli,3.5,250
542,Mithai,Jeevan Bhima Nagar,3.9,250
543,North Indian,Jeevan Bhima Nagar,3.9,250
544,Street Food,Jeevan Bhima Nagar,3.9,250
545,Tea,CV Raman Nagar,4.2,250
546,Beverages,CV Raman Nagar,4.2,250
547,Ice Cream,Frazer Town,4.0,250
548,Desserts,Frazer Town,4.0,250
549,Beverages,Frazer Town,4.0,250
550,Shake,Frazer Town,4.0,250
551,Bakery,Kaggadasapura,4.0,250
552,Desserts,Kaggadasapura,4.0,250
553,Pizza,Kaggadasapura,3.3,250
554,Fast Food,Kaggadasapura,3.3,250
