,cusine,Location,Rating,price_for_one
11968,Sandwich,Sarjapur Road,3.7,150
11969,Fast Food,Sarjapur Road,3.7,150
11970,Wraps,Sarjapur Road,3.7,150
11971,Biryani,Sarjapur Road,3.7,150
11972,Beverages,Sarjapur Road,3.7,150
11973,Desserts,Sarjapur Road,3.7,150
11974,Bakery,Bellandur,4.0,150
11975,Desserts,Bellandur,4.0,150
11976,South Indian,Mahadevapura Sarjapur Road,4.0,150
11977,Chinese,Mahadevapura Sarjapur Road,4.0,150
11978,North Indian,Mahadevapura Sarjapur Road,4.0,150
11979,Sichuan,Mahadevapura Sarjapur Road,4.0,150
11980,North Indian,Electronic City,4.2,150
11981,Rolls,Electronic City,4.2,150
11982,Fast Food,Electronic City,4.2,150
11983,Pizza,Sarjapur Road,4.1,150
11984,Pasta,Sarjapur Road,4.1,150
11985,Italian,Sarjapur Road,4.1,150
11986,Desserts,Sarjapur Road,4.1,150
11987,Continental,Sarjapur Road,4.1,150
11988,Beverages,Sarjapur Road,4.1,150
11989,North Indian,Sarjapur Road,4.3,150
11990,Chinese,Bellandur,4.1,150
11991,Japanese,Bellandur,4.1,150
11992,Thai,Bellandur,4.1,150
11993,Indonesian,Bellandur,4.1,150
11994,Asian,Bellandur,4.1,150
11995,Mughlai,Sarjapur Road,4.0,150
11996,North Indian,Sarjapur Road,4.0,150
11997,Chinese,Sarjapur Road,4.0,150
11998,Beverages,Sarjapur Road,4.0,150
11999,Street Food,Sarjapur Road,3.7,150
12000,Mughlai,Sarjapur Road,3.7,150
12001,Biryani,Sarjapur Road,3.7,150
12002,North Indian,Sarjapur Road,3.7,150
12003,Desserts,Sarjapur Road,3.7,150
12004,Beverages,Sarjapur Road,3.7,150
12005,Bar Food,Sarjapur Road,3.7,150
12006,Chinese,Sarjapur Road,3.9,250
12007,Asian,Sarjapur Road,3.9,250
12008,Thai,Sarjapur Road,3.9,250
12009,Oriental,Sarjapur Road,3.9,250
12010,Seafood,Sarjapur Road,3.9,250
12011,Sichuan,Sarjapur Road,3.9,250
12012,Beverages,Sarjapur Road,3.9,250
12013,Desserts,Sarjapur Road,3.9,250
12014,North Indian,Sarjapur Road,4.1,250
12015,Chinese,Sarjapur Road,4.1,250
12016,Kebab,Sarjapur Road,4.1,250
12017,Mughlai,Sarjapur Road,4.1,250
12018,Biryani,Sarjapur Road,4.1,250
12019,Desserts,Sarjapur Road,4.1,250
12020,Beverages,Sarjapur Road,4.1,250
12021,Waffle,Sarjapur Road,4.3,250
12022,Pancake,Sarjapur Road,4.3,250
12023,Desserts,Sarjapur Road,4.3,250
12024,Beverages,Sarjapur Road,4.3,250
12025,Ice Cream,Sarjapur Road,4.3,250
12026,South Indian,Sarjapur Road,4.0,250
12027,North Indian,Sarjapur Road,4.0,250
12028,Street Food,Sarjapur Road,4.0,250
12029,Chinese,Sarjapur Road,4.0,250
12030,Ice Cream,Sarjapur Road,4.0,250
12031,Desserts,Sarjapur Road,4.0,250
12032,Juices,Sarjapur Road,4.0,250
12033,Beverages,Sarjapur Road,4.0,250
12034,Ice Cream,Sarjapur Road,4.5,250
12035,Desserts,Sarjapur Road,4.5,250
12036,South Indian,Sarjapur Road,4.1,250
12037,Beverages,Sarjapur Road,4.1,250
12038,Chinese,Sarjapur Road,4.1,250
12039,Healthy Food,Mahadevapura Sarjapur Road,4.1,250
12040,South Indian,Mahadevapura Sarjapur Road,4.1,250
12041,Rolls,Sarjapur Road,3.9,250
12042,Chinese,Sarjapur Road,3.9,250
12043,Momos,Sarjapur Road,3.9,250
12044,Bakery,Bellandur,4.1,250
12045,Cafe,Bellandur,4.1,250
12046,Italian,Bellandur,4.1,250
12047,Continental,Bellandur,4.1,250
12048,Fast Food,Bellandur,4.1,250
12049,Beverages,Bellandur,4.1,250
12050,Desserts,Bellandur,4.1,250
12051,North Indian,Bellandur,3.5,250
12052,Chinese,Bellandur,3.5,250
12053,Biryani,Bellandur,3.5,250
12054,Fast Food,Bellandur,3.5,250
12055,Momos,Bellandur,3.5,250
12056,Sichuan,Bellandur,3.5,250
12057,North Indian,Sarjapur Road,4.3,250
12058,Biryani,Sarjapur Road,3.7,250
12059,North Indian,Sarjapur Road,3.7,250
12060,Chinese,Sarjapur Road,3.7,250
12061,Beverages,Sarjapur Road,3.7,250
12062,Biryani,Sarjapur Road,4.0,200
12063,Kebab,Sarjapur Road,4.0,200
12064,Hyderabadi,Sarjapur Road,4.0,200
12065,North Indian,Marathahalli,4.1,200
12066,Biryani,Sarjapur Road,3.9,200
12067,Mughlai,Sarjapur Road,3.9,200
12068,North Indian,Sarjapur Road,3.9,200
12069,North Indian,Sarjapur Road,4.4,200
12070,Chinese,Sarjapur Road,3.6,200
12071,Asian,Sarjapur Road,3.6,200
12072,Sichuan,Sarjapur Road,3.6,200
12073,South Indian,Sarjapur Road,4.0,250
12074,North Indian,Sarjapur Road,4.0,250
12075,Chinese,Sarjapur Road,4.0,250
12076,Fast Food,Sarjapur Road,4.0,250
12077,Street Food,Sarjapur Road,4.0,250
12078,Beverages,Sarjapur Road,4.0,250
12079,Desserts,Sarjapur Road,4.0,250
12080,Shake,Sarjapur Road,4.0,250
12081,North Indian,Sarjapur Road,3.6,250
12082,BBQ,Sarjapur Road,3.6,250
12083,Biryani,Sarjapur Road,3.6,250
12084,Kebab,Sarjapur Road,3.6,250
12085,Asian,Sarjapur Road,4.4,250
12086,Bakery,Sarjapur Road,4.4,250
12087,Cafe,Sarjapur Road,4.4,250
12088,Burger,Sarjapur Road,4.4,250
12089,Coffee,Sarjapur Road,4.4,250
12090,Ice Cream,Sarjapur Road,4.4,250
12091,Salad,Sarjapur Road,4.4,250
12092,Beverages,Sarjapur Road,4.4,250
12093,Chinese,Sarjapur Road,4.0,250
12094,North Indian,Sarjapur Road,4.0,250
12095,Chinese,Bellandur,4.2,250
12096,Thai,Bellandur,4.2,250
12097,Sichuan,Bellandur,4.2,250
12098,Seafood,Bellandur,4.2,250
12099,Beverages,Bellandur,4.2,250
12100,Desserts,Bellandur,4.2,250
12101,North Indian,Sarjapur Road,3.8,250
12102,Rajasthani,Sarjapur Road,3.8,250
12103,Fast Food,Sarjapur Road,3.8,250
12104,Street Food,Sarjapur Road,3.8,250
12105,Mithai,Sarjapur Road,3.8,250
12106,Beverages,Sarjapur Road,3.8,250
12107,Rolls,Sarjapur Road,4.1,250
12108,Fast Food,Sarjapur Road,4.1,250
12109,Beverages,Sarjapur Road,4.1,250
12110,Wraps,Sarjapur Road,4.1,250
12111,Desserts,Sarjapur Road,4.1,250
12112,Shake,Sarjapur Road,4.1,250
12113,Momos,Sarjapur Road,4.1,200
12114,Fast Food,Sarjapur Road,4.1,200
12115,Tea,Electronic City,4.0,200
12116,Beverages,Electronic City,4.0,200
12117,Shake,Electronic City,4.0,200
12118,Fast Food,Electronic City,4.0,200
12119,Rolls,Electronic City,4.0,200
12120,Desserts,Electronic City,4.0,200
12121,Coffee,Electronic City,4.0,200
12122,Pizza,Whitefield,4.0,200
12123,Fast Food,Whitefield,4.0,200
12124,Continental,Whitefield,4.0,200
12125,Italian,Whitefield,4.0,200
12126,Desserts,Whitefield,4.0,200
12127,Beverages,Whitefield,4.0,200
12128,North Indian,Sarjapur Road,3.6,200
12129,Chinese,Sarjapur Road,3.6,200
12130,Andhra,Sarjapur Road,3.5,200
12131,North Indian,Sarjapur Road,3.5,200
12132,Chinese,Sarjapur Road,3.5,200
12133,North Indian,Sarjapur Road,3.7,200
12134,Chinese,Sarjapur Road,3.7,200
12135,Sichuan,Sarjapur Road,3.7,200
12136,North Indian,Sarjapur Road,3.7,200
12137,Rolls,Sarjapur Road,3.7,200
12138,Chinese,Sarjapur Road,3.7,200
12139,Kerala,Sarjapur Road,3.5,200
12140,South Indian,Sarjapur Road,3.5,200
12141,Beverages,Sarjapur Road,3.5,200
12142,Kerala,Sarjapur Road,4.1,200
12143,South Indian,Sarjapur Road,4.1,200
12144,Chinese,Sarjapur Road,4.1,200
12145,Sichuan,Sarjapur Road,4.1,200
12146,North Indian,Marathahalli,3.5,200
12147,Biryani,Marathahalli,3.5,200
12148,Beverages,Marathahalli,3.5,200
12149,Biryani,Bellandur,3.5,200
12150,Fast Food,Bellandur,3.5,200
12151,South Indian,Bellandur,3.5,200
12152,Kerala,Sarjapur Road,4.2,200
12153,South Indian,Sarjapur Road,4.2,200
12154,Biryani,Sarjapur Road,4.2,200
12155,North Indian,Sarjapur Road,3.9,200
12156,Pasta,Sarjapur Road,3.9,200
12157,Italian,Sarjapur Road,3.9,200
12158,Biryani,Kadubeesanahalli,4.2,200
12159,North Indian,Kadubeesanahalli,4.2,200
12160,South Indian,Sarjapur Road,3.6,200
12161,North Indian,Sarjapur Road,3.7,200
12162,Street Food,Sarjapur Road,3.7,200
12163,Beverages,Sarjapur Road,3.7,200
12164,South Indian,Bellandur,3.8,200
12165,North Indian,Bellandur,3.8,200
12166,Chinese,Bellandur,3.8,200
12167,Street Food,Bellandur,3.8,200
12168,Desserts,Bellandur,3.8,200
12169,Ice Cream,Bellandur,3.8,200
12170,Beverages,Bellandur,3.8,200
12171,Biryani,Sarjapur Road,4.0,200
12172,North Indian,Sarjapur Road,4.0,200
12173,Chinese,Sarjapur Road,4.0,200
12174,Hyderabadi,Sarjapur Road,4.0,200
12175,Andhra,Sarjapur Road,4.0,200
12176,Wraps,Sarjapur Road,4.0,200
12177,Sichuan,Sarjapur Road,4.0,200
12178,Chinese,Sarjapur Road,3.9,200
12179,Momos,Sarjapur Road,3.9,200
12180,Seafood,Sarjapur Road,3.9,200
12181,Thai,Sarjapur Road,3.9,200
12182,Sichuan,Sarjapur Road,3.9,200
12183,Biryani,Sarjapur Road,4.2,200
12184,Mithai,Bommanahalli Sarjapur Road,4.4,200
12185,South Indian,Sarjapur Road,3.6,200
12186,Desserts,Sarjapur Road,3.6,200
12187,Rolls,Bellandur,4.2,200
12188,Fast Food,Bellandur,4.2,200
12189,North Indian,Bellandur,4.2,200
12190,Desserts,Bellandur,4.2,200
12191,Beverages,Bellandur,4.2,200
12192,Street Food,Sarjapur Road,3.8,150
12193,Fast Food,Sarjapur Road,3.8,150
12194,North Indian,Sarjapur Road,3.8,150
12195,Beverages,Sarjapur Road,3.8,150
12196,North Indian,Koramangala 7th Block,3.9,150
12197,North Indian,Bommanahalli Sarjapur Road,3.9,150
12198,Chinese,Bommanahalli Sarjapur Road,3.9,150
12199,Sichuan,Bommanahalli Sarjapur Road,3.9,150
12200,Shake,Sarjapur Road,4.2,150
12201,Beverages,Sarjapur Road,4.2,150
12202,Desserts,Sarjapur Road,4.2,150
12203,Ice Cream,Sarjapur Road,4.2,150
12204,Desserts,Bellandur,4.2,150
12205,Waffle,Bellandur,4.2,150
12206,Beverages,Bellandur,4.2,150
12207,Bakery,Sarjapur Road,3.5,150
12208,North Indian,Sarjapur Road,4.1,150
12209,Biryani,Sarjapur Road,4.1,150
12210,Mughlai,Sarjapur Road,4.1,150
12211,Rolls,Sarjapur Road,4.1,150
12212,Kebab,Sarjapur Road,4.1,150
12213,Desserts,Sarjapur Road,4.1,150
12214,Modern Indian,Sarjapur Road,4.1,150
12215,North Indian,Electronic City,4.1,150
12216,Chinese,Electronic City,4.1,150
12217,Fast Food,Electronic City,4.1,150
12218,Street Food,Electronic City,4.1,150
12219,Beverages,Electronic City,4.1,150
12220,Desserts,Electronic City,4.1,150
12221,Chinese,Sarjapur Road,3.8,150
12222,Thai,Sarjapur Road,3.8,150
12223,Vietnamese,Sarjapur Road,3.8,150
12224,Sichuan,Sarjapur Road,3.8,150
12225,Mithai,Sarjapur Road,4.0,100
12226,North Indian,Sarjapur Road,4.0,100
12227,Street Food,Sarjapur Road,4.0,100
12228,South Indian,Sarjapur Road,4.0,100
12229,North Indian,Sarjapur Road,4.0,100
12230,Chinese,Sarjapur Road,4.0,100
12231,Biryani,Sarjapur Road,4.0,100
12232,Beverages,Sarjapur Road,4.0,100
12233,Desserts,Sarjapur Road,4.0,100
12238,Bakery,Sarjapur Road,4.1,100
12239,Desserts,Sarjapur Road,4.1,100
12240,South Indian,Sarjapur Road,4.1,100
12241,North Indian,Sarjapur Road,4.1,100
12242,Chinese,Sarjapur Road,4.1,100
12243,Street Food,Sarjapur Road,4.1,100
12244,Fast Food,Sarjapur Road,4.1,100
12245,Desserts,Sarjapur Road,4.1,100
12246,Beverages,Sarjapur Road,4.1,100
12247,Shake,Sarjapur Road,4.1,100
12248,Biryani,Kadubeesanahalli,3.5,100
12249,Mughlai,Kadubeesanahalli,3.5,100
12250,Fast Food,Kadubeesanahalli,3.5,100
12251,Desserts,Kadubeesanahalli,3.5,100
12252,South Indian,Sarjapur Road,3.9,100
12253,Biryani,Bellandur,4.0,100
12254,North Indian,Bellandur,4.0,100
12255,Chinese,Bellandur,4.0,100
12256,North Indian,Electronic City,3.9,100
12257,Chinese,Electronic City,3.9,100
12258,Mughlai,Electronic City,3.9,100
12259,Seafood,Electronic City,3.9,100
12260,Fast Food,Electronic City,3.9,100
12261,Biryani,Electronic City,3.9,100
12262,Beverages,Electronic City,3.9,100
12263,Tea,Sarjapur Road,3.9,100
12264,Beverages,Sarjapur Road,3.9,100
12265,Bakery,Sarjapur Road,4.0,100
12266,Desserts,Sarjapur Road,4.0,100
12267,Bakery,Electronic City,3.8,100
12268,Desserts,Electronic City,3.8,100
12269,Cafe,Sarjapur Road,3.7,250
12270,Beverages,Sarjapur Road,3.7,250
12271,Desserts,Sarjapur Road,3.7,250
12272,North Indian,Mahadevapura Sarjapur Road,3.5,250
12273,Chinese,Mahadevapura Sarjapur Road,3.5,250
12274,Kebab,Mahadevapura Sarjapur Road,3.5,250
12275,Biryani,Mahadevapura Sarjapur Road,3.5,250
12276,Mughlai,Mahadevapura Sarjapur Road,3.5,250
12277,Desserts,Bommanahalli Sarjapur Road,4.3,250
12278,Beverages,Bommanahalli Sarjapur Road,4.3,250
12279,Gujarati,Sarjapur Road,3.9,250
12280,North Indian,Sarjapur Road,3.9,250
12281,Rajasthani,Sarjapur Road,3.9,250
12282,Desserts,Bellandur,4.1,250
12283,Bakery,Bellandur,4.1,250
12284,North Indian,Sarjapur Road,4.0,300
12285,Beverages,Sarjapur Road,4.0,300
12286,Desserts,Sarjapur Road,4.0,300
12287,Chinese,Sarjapur Road,3.5,300
12288,North Indian,Sarjapur Road,3.5,300
12289,Beverages,Sarjapur Road,3.5,300
12290,Ice Cream,Sarjapur Road,4.4,300
12291,Bakery,Sarjapur Road,4.4,300
12292,Desserts,Sarjapur Road,4.4,300
12293,Thai,Mahadevapura Sarjapur Road,4.0,300
12294,Asian,Mahadevapura Sarjapur Road,4.0,300
12295,Chinese,Mahadevapura Sarjapur Road,4.0,300
12296,Burger,Sarjapur Road,4.1,300
12297,Fast Food,Sarjapur Road,4.1,300
12298,Beverages,Sarjapur Road,4.1,300
12299,Mughlai,Marathahalli,3.8,300
12300,North Indian,Marathahalli,3.8,300
12301,South Indian,Phase-2 Electronic City,3.4,300
12302,Chinese,Phase-2 Electronic City,3.4,300
12303,Biryani,Bellandur,4.0,300
12304,North Indian,Bellandur,4.0,300
12305,Desserts,Bellandur,4.0,300
12306,North Indian,Bellandur,3.9,300
12307,Mughlai,Bellandur,3.9,300
12308,Chinese,Bellandur,3.9,300
12309,Beverages,Sarjapur Road,4.0,300
12310,Shake,Sarjapur Road,4.0,300
12311,Ice Cream,Sarjapur Road,4.0,300
12312,Desserts,Sarjapur Road,4.0,300
12313,North Indian,Electronic City,4.1,300
12314,Chinese,Electronic City,4.1,300
12315,South Indian,Electronic City,4.1,300
12316,Street Food,Electronic City,4.1,300
12317,Fast Food,Electronic City,4.1,300
12318,Desserts,Electronic City,4.1,300
12319,Juices,Electronic City,4.1,300
12320,Beverages,Electronic City,4.1,300
12321,North Indian,Bellandur,3.7,300
12322,Pizza,Koramangala 1st Block,3.8,300
12323,Fast Food,Koramangala 1st Block,3.8,300
12324,Bakery,Sarjapur Road,3.3,300
12325,Desserts,Sarjapur Road,3.3,300
12326,North Indian,Sarjapur Road,3.8,300
12327,Chinese,Sarjapur Road,3.8,300
12328,Mughlai,Sarjapur Road,3.8,300
12329,Desserts,Sarjapur Road,3.8,300
12330,Beverages,Sarjapur Road,3.8,300
12331,Pasta,Sarjapur Road,4.1,300
12332,Pizza,Sarjapur Road,4.1,300
12333,Italian,Sarjapur Road,4.1,300
12334,European,Sarjapur Road,4.1,300
12335,Salad,Sarjapur Road,4.1,300
12336,Desserts,Sarjapur Road,4.1,300
12337,Beverages,Sarjapur Road,4.1,300
12338,South Indian,Sarjapur Road,4.0,300
12339,North Indian,Sarjapur Road,4.0,300
12340,Street Food,Sarjapur Road,4.0,300
12341,Chinese,Sarjapur Road,4.0,300
12342,Fast Food,Sarjapur Road,4.0,300
12343,Desserts,Sarjapur Road,4.0,300
12344,Beverages,Sarjapur Road,4.0,300
12345,Shake,Sarjapur Road,4.0,300
12346,Biryani,Sarjapur Road,4.1,300
12347,South Indian,Sarjapur Road,4.1,300
12348,North Indian,Sarjapur Road,4.1,300
12349,Asian,Sarjapur Road,4.0,300
12350,Korean,Sarjapur Road,4.0,300
12351,Japanese,Sarjapur Road,4.0,300
12352,Sushi,Sarjapur Road,4.0,300
12353,South Indian,Whitefield,4.4,300
12354,Coffee,Whitefield,4.4,300
12355,Desserts,Sarjapur Road,3.9,300
12356,Bakery,Sarjapur Road,3.9,300
12357,Afghan,Electronic City,3.4,300
12358,Fast Food,Electronic City,3.4,300
12359,Chinese,Electronic City,3.4,300
12360,North Indian,Electronic City,3.4,300
12361,Desserts,Electronic City,3.4,300
12362,Beverages,Electronic City,3.4,300
12363,Sichuan,Electronic City,3.4,300
12364,North Indian,Kadubeesanahalli,3.6,300
12365,Mangalorean,Kadubeesanahalli,3.6,300
12366,BBQ,Kadubeesanahalli,3.6,300
12367,Street Food,Kadubeesanahalli,3.6,300
12368,Desserts,Kadubeesanahalli,3.6,300
12369,Salad,Kadubeesanahalli,3.6,300
12370,Beverages,Kadubeesanahalli,3.6,300
12371,North Indian,Sarjapur Road,3.9,300
12372,Rolls,Sarjapur Road,3.9,300
12373,Kebab,Sarjapur Road,3.9,300
12374,Mughlai,Sarjapur Road,3.9,300
12375,Biryani,Sarjapur Road,3.9,300
12376,Beverages,Sarjapur Road,3.9,300
12404,North Indian,Electronic City,3.7,100
12405,Chinese,Electronic City,3.7,100
12406,Bakery,Electronic City,4.0,100
12407,Bakery,Bellandur,4.0,100
12408,Street Food,Sarjapur Road,4.1,100
12409,Fast Food,Sarjapur Road,4.1,100
12410,Sandwich,Sarjapur Road,4.1,100
12411,Lebanese,Sarjapur Road,3.9,100
12412,Rolls,Sarjapur Road,3.9,100
12413,Desserts,Bellandur,4.2,100
12414,Beverages,Bellandur,4.2,100
12415,Waffle,Bellandur,4.2,100
12416,Shake,Bellandur,4.2,100
12417,Chinese,Hosur Road,4.2,100
12418,North Indian,Hosur Road,4.2,100
12419,Mughlai,Hosur Road,4.2,100
12420,Finger Food,Hosur Road,4.2,100
12421,Seafood,Hosur Road,4.2,100
12422,Pizza,Sarjapur Road,3.7,100
12423,Fast Food,Sarjapur Road,3.7,100
12428,Chinese,Sarjapur Road,4.0,100
12429,Asian,Sarjapur Road,4.0,100
12430,Sushi,Sarjapur Road,4.0,100
12431,Momos,Sarjapur Road,4.0,100
12432,Japanese,Sarjapur Road,4.0,100
12433,Thai,Sarjapur Road,4.0,100
12434,Beverages,Sarjapur Road,4.0,100
12435,Biryani,Bellandur,3.4,100
12436,North Indian,Bellandur,3.4,100
12437,Chinese,Bellandur,3.4,100
12438,Desserts,Bellandur,3.4,100
12439,Beverages,Bellandur,3.4,100
12440,Sichuan,Bellandur,3.4,100
12441,Biryani,Sarjapur Road,3.8,100
12442,North Indian,Sarjapur Road,3.8,100
12443,Kebab,Sarjapur Road,3.8,100
12444,Desserts,Sarjapur Road,3.8,100
12445,Beverages,Sarjapur Road,3.8,100
12446,Mithai,Sarjapur Road,4.4,100
12447,Street Food,Sarjapur Road,4.4,100
12448,Fast Food,Sarjapur Road,4.4,100
12449,French,Sarjapur Road,4.1,100
12450,Continental,Sarjapur Road,4.1,100
12451,Sandwich,Sarjapur Road,4.1,100
12452,Desserts,Sarjapur Road,4.1,100
12453,Beverages,Sarjapur Road,4.1,100
12454,Rolls,Kadubeesanahalli,3.9,100
12455,Fast Food,Kadubeesanahalli,3.9,100
12456,North Indian,Kadubeesanahalli,3.9,100
12457,Fast Food,Near Sarjapur Road,4.0,100
12458,Desserts,Near Sarjapur Road,4.0,100
12459,Beverages,Near Sarjapur Road,4.0,100
12460,Street Food,Sarjapur Road,3.7,100
12461,Fast Food,Sarjapur Road,3.7,100
12462,Bengali,Electronic City,3.7,100
12463,Biryani,Electronic City,3.7,100
12464,Rolls,Electronic City,3.7,100
12465,Andhra,Kadubeesanahalli,4.1,100
12466,North Indian,Kadubeesanahalli,4.1,100
12467,Chinese,Kadubeesanahalli,4.1,100
12468,Biryani,Kadubeesanahalli,4.1,100
12469,Ice Cream,Kadubeesanahalli,4.1,100
12470,Beverages,Kadubeesanahalli,4.1,100
12471,Biryani,Sarjapur Road,3.6,100
12472,North Indian,Sarjapur Road,3.6,100
12473,Mughlai,Sarjapur Road,3.6,100
12474,Street Food,Electronic City,4.0,100
12475,Fast Food,Electronic City,4.0,100
12476,Continental,Electronic City,4.0,100
12477,Chinese,Electronic City,4.0,100
12478,Shake,Electronic City,4.0,100
12479,Sichuan,Electronic City,4.0,100
12480,North Indian,Electronic City,4.0,100
12481,Chinese,Electronic City,4.0,100
12482,BBQ,Electronic City,4.0,100
12483,Sichuan,Electronic City,4.0,100
12484,Chinese,Marathahalli,4.0,100
12485,Momos,Marathahalli,4.0,100
12486,Sichuan,Marathahalli,4.0,100
12487,Juices,Electronic City,4.2,100
12488,Beverages,Electronic City,4.2,100
12489,Shake,Electronic City,4.2,100
12490,Ice Cream,Electronic City,4.2,100
12491,South Indian,Sarjapur Road,4.0,150
12492,South Indian,Sarjapur Road,3.9,150
12493,North Indian,Sarjapur Road,3.9,150
12494,Chinese,Sarjapur Road,3.9,150
12495,Street Food,Sarjapur Road,3.9,150
12496,Andhra,Sarjapur Road,4.2,150
12497,Biryani,Sarjapur Road,4.2,150
12498,North Indian,Sarjapur Road,4.2,150
12499,Beverages,Sarjapur Road,4.2,150
12500,Street Food,Bommasandra,4.0,150
12501,Chinese,Electronic City,3.7,150
12502,Momos,Electronic City,3.7,150
12503,Desserts,Electronic City,3.7,150
12504,Beverages,Electronic City,3.7,150
12505,Sichuan,Electronic City,3.7,150
12506,Ice Cream,Bellandur,4.0,150
12507,Mithai,Bellandur,4.0,150
12508,Desserts,Bellandur,4.0,150
12509,North Indian,Sarjapur Road,4.1,150
12510,South Indian,Sarjapur Road,4.1,150
12511,North Indian,Sarjapur Road,4.1,150
12512,Chinese,Sarjapur Road,4.1,150
12513,Street Food,Sarjapur Road,4.1,150
12514,Juices,Sarjapur Road,4.1,150
12515,Beverages,Sarjapur Road,4.1,150
12516,Shake,Sarjapur Road,4.1,150
12517,Sandwich,Sarjapur Road,4.0,150
12518,Fast Food,Sarjapur Road,4.0,150
12519,Beverages,Sarjapur Road,4.0,150
12520,Juices,Sarjapur Road,4.0,150
12521,Shake,Sarjapur Road,4.0,150
12522,Cafe,Sarjapur Road,3.6,150
12523,Fast Food,Sarjapur Road,3.6,150
12524,Coffee,Sarjapur Road,3.6,150
12525,Desserts,Sarjapur Road,3.6,150
12526,Beverages,Sarjapur Road,3.6,150
12527,Chettinad,Sarjapur Road,3.2,150
12528,North Indian,Sarjapur Road,3.2,150
12529,Arabian,Sarjapur Road,3.8,150
12530,Sandwich,Sarjapur Road,3.8,150
12531,Burger,Sarjapur Road,3.8,150
12532,Biryani,Sarjapur Road,3.8,150
12533,Lebanese,Sarjapur Road,3.8,150
12534,Beverages,Sarjapur Road,3.8,150
12535,Juices,Sarjapur Road,3.8,150
12536,Shake,Sarjapur Road,3.8,150
12537,North Indian,Hosur Road,4.1,150
12538,Chinese,Hosur Road,4.1,150
12539,Andhra,Hosur Road,4.1,150
12540,Biryani,Hosur Road,4.1,150
12541,Momos,Sarjapur Road,4.0,150
12542,Arabian,Sarjapur Road,3.7,150
12543,North Indian,Sarjapur Road,3.7,150
12544,Chinese,Sarjapur Road,3.7,150
12545,Fast Food,Sarjapur Road,3.7,150
12546,Beverages,Sarjapur Road,3.7,150
12547,Desserts,Sarjapur Road,3.7,150
12548,Rolls,Sarjapur Road,4.0,100
12549,Ice Cream,Whitefield,4.2,100
12550,Desserts,Whitefield,4.2,100
12551,Burger,Sarjapur Road,4.1,100
12552,Rolls,Sarjapur Road,4.1,100
12553,Beverages,Sarjapur Road,4.1,100
12554,Desserts,Sarjapur Road,4.1,100
12555,Shake,Sarjapur Road,4.1,100
12556,Pizza,Kadubeesanahalli,4.0,100
12557,Chinese,Kadubeesanahalli,3.9,100
12558,Sichuan,Kadubeesanahalli,3.9,100
12565,Cafe,Sarjapur Road,4.1,100
12566,Coffee,Sarjapur Road,4.1,100
12567,Fast Food,Sarjapur Road,4.1,100
12568,Beverages,Sarjapur Road,4.1,100
12569,North Indian,Bellandur,4.0,200
12570,Mughlai,Bellandur,4.0,200
12571,Chinese,Bellandur,4.0,200
12572,Biryani,Bellandur,4.0,200
12573,Beverages,Bellandur,4.0,200
12574,Shake,Bellandur,4.0,200
12575,Sichuan,Bellandur,4.0,200
12576,Juices,Sarjapur Road,4.2,200
12577,Beverages,Sarjapur Road,4.2,200
12578,Sandwich,Sarjapur Road,4.2,200
12579,Fast Food,Sarjapur Road,4.2,200
12580,Shake,Sarjapur Road,4.2,200
12581,Rolls,Sarjapur Road,4.2,200
12582,Healthy Food,Sarjapur Road,4.2,200
12583,Street Food,Sarjapur Road,4.2,200
12584,North Indian,Bellandur,4.2,200
12585,Asian,Bellandur,4.2,200
12586,Seafood,Bellandur,4.2,200
12587,Chinese,Bellandur,4.2,200
12588,Sichuan,Bellandur,4.2,200
12589,Fast Food,Bellandur,4.2,200
12590,Desserts,Bellandur,4.2,200
12591,Beverages,Bellandur,4.2,200
12592,Biryani,Sarjapur Road,3.9,200
12593,South Indian,Sarjapur Road,3.9,200
12594,North Indian,Sarjapur Road,3.9,200
12595,Biryani,Bellandur,3.9,200
12596,South Indian,Bellandur,3.9,200
12597,North Indian,Marathahalli,3.9,200
12598,Fast Food,Marathahalli,3.9,200
12599,Street Food,Marathahalli,3.9,200
12600,Shake,Marathahalli,3.9,200
12601,Beverages,Marathahalli,3.9,200
12602,South Indian,Sarjapur Road,3.5,200
12603,North Indian,Sarjapur Road,3.5,200
12604,Chinese,Sarjapur Road,3.5,200
12605,Street Food,Sarjapur Road,3.5,200
12606,Beverages,Sarjapur Road,3.5,200
12607,Ice Cream,Sarjapur Road,3.5,200
12608,Desserts,Sarjapur Road,3.5,200
12609,Lebanese,Bellandur,4.3,200
12610,Biryani,Sarjapur Road,3.7,200
12611,South Indian,Sarjapur Road,3.7,200
12612,Bakery,Sarjapur Road,4.2,200
12613,Desserts,Sarjapur Road,4.2,200
12614,Rolls,HSR,3.6,200
12615,Healthy Food,Bellandur,4.3,200
12616,North Indian,Bellandur,4.3,200
12617,Ice Cream,Bellandur,4.3,200
12618,Desserts,Bellandur,4.3,200
12667,Fast Food,HSR,3.8,200
12668,Street Food,HSR,3.8,200
12669,Momos,HSR,3.8,200
12670,Pizza,Kadubeesanahalli,4.4,200
12671,Italian,Kadubeesanahalli,4.4,200
12672,Ice Cream,Kadubeesanahalli,4.4,200
12673,Shake,Kadubeesanahalli,4.4,200
12674,Biryani,HSR,4.0,200
12675,North Indian,HSR,4.0,200
12676,Ice Cream,HSR,4.0,200
12677,Desserts,HSR,4.0,200
