name,lat,long,review,cusine,rating,price,Location
Juice Junction,12.9721018956,77.6012196019,124,"juices, beverages, sandwich, fast food, shake, rolls, healthy food, street food",4.3,350,st. marks road
TrueCakes,13.0144140486,77.6356192678,154,bakery,3.7,350,kammanahalli
Kolkata Famous Kati Roll,12.969265,77.6825825,11,rolls,4.0,350,kaggadasapura
Home Plate by EatFit,13.008305,77.651848,90,"north indian, beverages",3.8,350,banaswadi
Lassi Corner,12.9444575864,77.6173530892,1,"beverages, fast food, desserts, shake",3.8,350,koramangala 8th block
Oh! Calcutta,12.9752164951,77.6039001346,1681,"bengali, north indian, seafood, mughlai",4.1,400,church street
Richie Rich,12.9868342308,77.5800090283,756,"desserts, beverages, fast food, ice cream, shake",4.3,400,race course road
Calcutta Victoria Chat House,13.00128344,77.6616953686,173,"north indian, street food, desserts, beverages",3.8,400,banaswadi
Mother's Meal,12.9814978501,77.6668676734,162,"north indian, chinese",4.3,400,cv raman nagar
Big Bang Pizza,12.9948082048,77.6150259376,92,"pizza, fast food, burger, beverages",4.0,400,frazer town
Sattvam,12.993855,77.700745,583,"north indian, south indian",3.9,400,whitefield
Al Taza,12.9307671153,77.632955499,33,lebanese,4.3,400,koramangala 1st block
Green Onion,12.9734091,77.6092974,1369,"chinese, seafood, sichuan",4.2,400,residency road
Karavali Family Restaurant,12.9729775029,77.609281987,28,"mangalorean, biryani, chinese, south indian",3.9,400,brigade road
Main Lassi Shop,12.9851821017,77.6035893336,7957,"beverages, ice cream, juices, fast food, street food, sandwich, shake",3.8,400,shivajinagar
Haka,12.9752243362,77.6039232686,362,"chinese, momos",4.1,400,church street
Firangi Bake,12.9712618978,77.6584163681,1445,"italian, mexican",3.9,400,thippasandra
Chung's Chinese Corner,12.9890949869,77.5939481333,244,"chinese, asian, seafood, thai, sichuan",3.7,300,cunningham road
Snack House,12.994739,77.61505,502,"fast food, momos",3.7,300,frazer town
Kulfi Shulfi- Kulfis and Ice Cream,12.9845375168,77.6756512374,4,"ice cream, desserts",4.3,300,cv raman nagar
Fresh Bites,13.00927851,77.6496730372,261,"north indian, chinese",3.7,300,banaswadi
Cake Menu,12.957084,77.702718,2416,bakery,3.6,300,marathahalli
SLAY Coffee,12.9570432554,77.6623816788,575,coffee,4.0,300,old airport road
Taj Hotel,12.9853425126,77.6072015986,171,"chinese, south indian, north indian, mughlai",3.8,300,shivajinagar
Burger Seigneur,12.9750423556,77.6025714353,184,"cafe, burger, continental, beverages, desserts",4.2,300,st. marks road
Tapri By The Corner,12.9355693385,77.6211708784,177,"north indian, chinese",3.9,300,koramangala 5th block
Hotel Navayuga,12.9766550197,77.5756708905,281,"andhra, biryani",4.3,300,majestic
Dum Safar Biryani,12.9255192,77.6369965,79,"biryani, kebab, north indian, bbq, desserts, beverages",4.3,300,koramangala 1st block
Gramin,12.9346909856,77.6132932305,3662,"north indian, healthy food, beverages, shake",4.1,300,koramangala 7th block
Sri Murugan Cafe,12.9927667115,77.6639112085,11,"south indian, chinese, beverages",4.0,100,cv raman nagar
Habibi Falafel,13.0142108635,77.6370576024,13,"arabian, fast food, beverages, desserts",4.2,100,kammanahalli
Delhi Food Point,12.9271941437,77.6377429068,525,"north indian, beverages",3.6,100,koramangala 1st block
Sree Krishna Kafe,12.9371142911,77.6194375008,958,"south indian, beverages",4.2,100,koramangala 5th block
FB Café By Frozen Bottle,12.9591171747,77.6569017261,12,bakery,3.6,100,old airport road
Al Zara Mandi Arabian Restaurant,13.0007398416,77.6143617556,76,"arabian, north indian, mughlai",4.0,100,frazer town
Say Cheese Cake,12.9370959922,77.624687925,2497,"bakery, desserts, shake",4.2,100,koramangala 6th block
Maharaja Military Canteen,12.9850407453,77.596361582,66,south indian,3.6,100,cunningham road
Hotel Salala,12.9589687237,77.6553573087,100,"north indian, south indian, chinese, mughlai",3.8,100,old airport road
Tandoori Taal,12.9858185174,77.5876905397,84,"north indian, seafood, desserts",4.0,100,race course road
Namma Madurai,12.9716529823,77.6507747546,62,south indian,4.2,100,thippasandra
Swiss Cream,12.9943590059,77.6666326448,114,"ice cream, waffle, desserts, sandwich, shake, beverages",4.0,100,old madras road
Sindhoora Gardenia,12.993883,77.7012517,0,"andhra, north indian, mughlai, chinese, seafood, biryani, beverages, desserts",New,300,kr puram
Tawakkal Mubarak Hotel,12.9617436851,77.6701768488,12,"mughlai, biryani",3.7,300,old airport road
Kabab Biryani Corner,12.9565655618,77.6196698472,39,"south indian, chinese, rolls, north indian",3.6,300,near richmond road
Kanti Bakes & Flakes,12.9934847807,77.6673642173,241,"bakery, desserts, mithai",4.5,300,old madras road
Olio - The Wood Fired Pizzeria,12.9404117818,77.6251965854,20,"pizza, italian",3.6,300,koramangala 6th block
Savitha Family Restaurant,12.9355464648,77.6285566762,291,"north indian, chinese, seafood, mughlai, desserts, beverages, sichuan",3.8,300,koramangala 4th block
Louis Burger,12.9402673,77.6252286,1316,"burger, fast food",4.1,300,koramangala 6th block
Fiero! Pizzeria,12.9375867937,77.6191149652,266,"pizza, fast food",3.9,300,koramangala 6th block
Lakeview Milkbar,12.9758931222,77.603796199,1698,"desserts, cafe, fast food, sandwich, burger, ice cream, shake",4.0,300,mg road
